Company Name,Date,Close,Volume
ABB India,28-03-2024,6363.30,20461
ABB India,27-03-2024,6279.75,38647
ABB India,26-03-2024,5931.90,6532
ABB India,22-03-2024,5965.35,22855
ABB India,21-03-2024,5865.35,5362
ABB India,20-03-2024,5730.70,8134
ABB India,19-03-2024,5629.85,4929
ABB India,18-03-2024,5764.30,7888
ABB India,15-03-2024,5626.30,20522
ABB India,14-03-2024,5639.30,5493
ABB India,13-03-2024,5591.75,9929
ABB India,12-03-2024,5714.75,7326
ABB India,11-03-2024,5826.05,25395
ABB India,07-03-2024,5771.70,13160
ABB India,06-03-2024,5703.15,16057
ABB India,05-03-2024,5687.70,17208
ABB India,04-03-2024,5631.85,31117
ABB India,02-03-2024,5505.45,864
ABB India,01-03-2024,5485.65,18732
ABB India,29-02-2024,5449.85,13732
ABB India,28-02-2024,5419.35,56009
ABB India,27-02-2024,5452.40,33361
ABB India,26-02-2024,5297.15,29925
ABB India,23-02-2024,5389.60,78176
ABB India,22-02-2024,5431.50,174644
ABB India,21-02-2024,4989.30,148417
ABB India,20-02-2024,4522.10,6018
ABB India,19-02-2024,4491.60,3110
ABB India,16-02-2024,4521.75,2766
ABB India,15-02-2024,4467.75,5401
ABB India,14-02-2024,4562.95,6520
ABB India,13-02-2024,4463.90,5067
ABB India,12-02-2024,4417.60,2635
ABB India,09-02-2024,4488.10,4582
ABB India,08-02-2024,4450.65,4152
ABB India,07-02-2024,4571.55,11221
ABB India,06-02-2024,4404.00,3350
ABB India,05-02-2024,4368.15,10112
ABB India,02-02-2024,4482.35,9845
ABB India,01-02-2024,4532.55,35683
ABB India,31-01-2024,4671.65,6756
ABB India,30-01-2024,4735.60,2115
ABB India,29-01-2024,4787.15,3763
ABB India,25-01-2024,4738.25,2785
ABB India,24-01-2024,4731.00,11249
ABB India,23-01-2024,4771.80,9251
ABB India,20-01-2024,4755.80,1219
ABB India,19-01-2024,4819.65,6612
ABB India,18-01-2024,4710.65,3937
ABB India,17-01-2024,4771.65,3293
ABB India,16-01-2024,4806.70,4268
ABB India,15-01-2024,4752.95,3329
ABB India,12-01-2024,4781.25,4196
ABB India,11-01-2024,4869.65,5429
ABB India,10-01-2024,4937.45,5125
ABB India,09-01-2024,4919.20,16806
ABB India,08-01-2024,4756.35,3379
ABB India,05-01-2024,4831.00,6035
ABB India,04-01-2024,4824.80,3150
ABB India,03-01-2024,4773.90,5015
ABB India,02-01-2024,4695.95,3586
ABB India,01-01-2024,4678.55,1787
