Company Name,Date,Close,Volume
Adani Ports,28-03-2024,1341.70,250874
Adani Ports,27-03-2024,1323.95,160658
Adani Ports,26-03-2024,1304.05,118703
Adani Ports,22-03-2024,1280.95,99775
Adani Ports,21-03-2024,1263.15,52842
Adani Ports,20-03-2024,1245.10,59303
Adani Ports,19-03-2024,1240.80,165686
Adani Ports,18-03-2024,1266.75,162235
Adani Ports,15-03-2024,1282.60,170314
Adani Ports,14-03-2024,1269.20,287470
Adani Ports,13-03-2024,1209.60,222341
Adani Ports,12-03-2024,1300.25,175871
Adani Ports,11-03-2024,1327.05,147191
Adani Ports,07-03-2024,1327.45,49429
Adani Ports,06-03-2024,1324.25,150305
Adani Ports,05-03-2024,1338.65,103849
Adani Ports,04-03-2024,1342.60,180909
Adani Ports,02-03-2024,1338.80,14145
Adani Ports,01-03-2024,1321.75,190680
Adani Ports,29-02-2024,1321.65,77625
Adani Ports,28-02-2024,1299.05,102452
Adani Ports,27-02-2024,1329.40,121711
Adani Ports,26-02-2024,1338.90,134345
Adani Ports,23-02-2024,1320.10,224205
Adani Ports,22-02-2024,1311.55,156250
Adani Ports,21-02-2024,1291.50,96340
Adani Ports,20-02-2024,1299.95,135112
Adani Ports,19-02-2024,1307.10,238132
Adani Ports,16-02-2024,1306.95,278732
Adani Ports,15-02-2024,1266.50,81345
Adani Ports,14-02-2024,1267.35,240354
Adani Ports,13-02-2024,1266.35,168715
Adani Ports,12-02-2024,1249.55,82347
Adani Ports,09-02-2024,1271.10,373993
Adani Ports,08-02-2024,1245.60,80147
Adani Ports,07-02-2024,1255.30,150792
Adani Ports,06-02-2024,1273.00,550202
Adani Ports,05-02-2024,1256.70,400592
Adani Ports,02-02-2024,1261.75,793257
Adani Ports,01-02-2024,1218.95,311611
Adani Ports,31-01-2024,1207.60,229581
Adani Ports,30-01-2024,1187.60,203432
Adani Ports,29-01-2024,1196.60,431851
Adani Ports,25-01-2024,1146.65,419984
Adani Ports,24-01-2024,1120.70,239344
Adani Ports,23-01-2024,1137.25,302326
Adani Ports,20-01-2024,1193.30,151457
Adani Ports,19-01-2024,1152.10,159101
Adani Ports,18-01-2024,1154.15,376994
Adani Ports,17-01-2024,1168.10,165185
Adani Ports,16-01-2024,1193.30,109756
Adani Ports,15-01-2024,1202.90,139560
Adani Ports,12-01-2024,1206.85,205052
Adani Ports,11-01-2024,1202.90,350214
Adani Ports,10-01-2024,1214.40,777458
Adani Ports,09-01-2024,1196.75,804035
Adani Ports,08-01-2024,1168.70,500546
Adani Ports,05-01-2024,1154.10,864830
Adani Ports,04-01-2024,1123.35,456960
Adani Ports,03-01-2024,1093.50,2381683
Adani Ports,02-01-2024,1078.55,535148
Adani Ports,01-01-2024,1048.05,167629
