Company Name,Date,Close,Volume
Arvind Smart,28-03-2024,697.10,50155
Arvind Smart,27-03-2024,698.00,37938
Arvind Smart,26-03-2024,628.40,5522
Arvind Smart,22-03-2024,625.80,16589
Arvind Smart,21-03-2024,596.20,8475
Arvind Smart,20-03-2024,602.30,19605
Arvind Smart,19-03-2024,579.00,1251
Arvind Smart,18-03-2024,571.75,2853
Arvind Smart,15-03-2024,596.35,2766
Arvind Smart,14-03-2024,581.10,9169
Arvind Smart,13-03-2024,553.25,12830
Arvind Smart,12-03-2024,545.95,12505
Arvind Smart,11-03-2024,548.85,7561
Arvind Smart,07-03-2024,578.55,2404
Arvind Smart,06-03-2024,576.00,8249
Arvind Smart,05-03-2024,595.30,4376
Arvind Smart,04-03-2024,609.55,3408
Arvind Smart,02-03-2024,614.85,553
Arvind Smart,01-03-2024,629.00,4517
Arvind Smart,29-02-2024,616.60,4584
Arvind Smart,28-02-2024,607.35,3044
Arvind Smart,27-02-2024,611.05,4993
Arvind Smart,26-02-2024,601.60,11360
Arvind Smart,23-02-2024,582.90,804947
Arvind Smart,22-02-2024,581.70,5115
Arvind Smart,21-02-2024,589.25,15527
Arvind Smart,20-02-2024,597.55,13421
Arvind Smart,19-02-2024,626.95,31678
Arvind Smart,16-02-2024,567.70,4311
Arvind Smart,15-02-2024,561.40,2793
Arvind Smart,14-02-2024,557.10,2380
Arvind Smart,13-02-2024,556.30,8647
Arvind Smart,12-02-2024,577.50,3006
Arvind Smart,09-02-2024,591.65,7492
Arvind Smart,08-02-2024,609.20,4987
Arvind Smart,07-02-2024,618.55,66166
Arvind Smart,06-02-2024,653.20,54276
Arvind Smart,05-02-2024,544.35,2744
Arvind Smart,02-02-2024,542.30,8828
Arvind Smart,01-02-2024,538.95,12573
Arvind Smart,31-01-2024,525.25,7090
Arvind Smart,30-01-2024,520.05,6025
Arvind Smart,29-01-2024,496.10,9598
Arvind Smart,25-01-2024,488.20,15534
Arvind Smart,24-01-2024,473.75,4511
Arvind Smart,23-01-2024,468.90,8145
Arvind Smart,20-01-2024,490.75,1370
Arvind Smart,19-01-2024,487.50,3602
Arvind Smart,18-01-2024,483.95,3872
Arvind Smart,17-01-2024,474.00,2972
Arvind Smart,16-01-2024,470.65,3511
Arvind Smart,15-01-2024,477.40,3727
Arvind Smart,12-01-2024,478.55,6168
Arvind Smart,11-01-2024,483.65,10001
Arvind Smart,10-01-2024,489.70,14263
Arvind Smart,09-01-2024,470.85,3814
Arvind Smart,08-01-2024,471.10,2692
Arvind Smart,05-01-2024,478.95,8305
Arvind Smart,04-01-2024,465.95,20788
Arvind Smart,03-01-2024,462.70,10235
Arvind Smart,02-01-2024,464.70,18825
Arvind Smart,01-01-2024,430.95,1177
