Company Name,Date,Close,Volume
Bharat Bijlee,28-03-2024,6409.45,7282
Bharat Bijlee,27-03-2024,6141.20,6593
Bharat Bijlee,26-03-2024,5876.65,5884
Bharat Bijlee,22-03-2024,5485.80,606
Bharat Bijlee,21-03-2024,5394.25,1296
Bharat Bijlee,20-03-2024,5182.50,1539
Bharat Bijlee,19-03-2024,5031.95,840
Bharat Bijlee,18-03-2024,5169.50,919
Bharat Bijlee,15-03-2024,5153.85,1509
Bharat Bijlee,14-03-2024,5061.60,1882
Bharat Bijlee,13-03-2024,4858.25,2127
Bharat Bijlee,12-03-2024,5201.05,2206
Bharat Bijlee,11-03-2024,5436.70,858
Bharat Bijlee,07-03-2024,5623.05,866
Bharat Bijlee,06-03-2024,5525.10,4542
Bharat Bijlee,05-03-2024,5760.05,406
Bharat Bijlee,04-03-2024,5809.00,1973
Bharat Bijlee,02-03-2024,5932.50,445
Bharat Bijlee,01-03-2024,5976.05,4874
Bharat Bijlee,29-02-2024,5701.75,1477
Bharat Bijlee,28-02-2024,5742.95,1582
Bharat Bijlee,27-02-2024,5804.85,1429
Bharat Bijlee,26-02-2024,5797.85,1982
Bharat Bijlee,23-02-2024,5713.35,858
Bharat Bijlee,22-02-2024,5619.75,2589
Bharat Bijlee,21-02-2024,5689.40,1041
Bharat Bijlee,20-02-2024,5780.30,963
Bharat Bijlee,19-02-2024,5868.05,760
Bharat Bijlee,16-02-2024,5802.45,2107
Bharat Bijlee,15-02-2024,5810.95,4141
Bharat Bijlee,14-02-2024,5796.65,9803
Bharat Bijlee,13-02-2024,5794.90,3973
Bharat Bijlee,12-02-2024,5804.05,4033
Bharat Bijlee,09-02-2024,5941.10,6707
Bharat Bijlee,08-02-2024,5914.75,4280
Bharat Bijlee,07-02-2024,5679.95,9331
Bharat Bijlee,06-02-2024,5303.60,2013
Bharat Bijlee,05-02-2024,5106.35,2720
Bharat Bijlee,02-02-2024,5065.55,2965
Bharat Bijlee,01-02-2024,5282.95,1734
Bharat Bijlee,31-01-2024,5255.25,1395
Bharat Bijlee,30-01-2024,5299.90,4780
Bharat Bijlee,29-01-2024,5339.10,16999
Bharat Bijlee,25-01-2024,4696.25,4246
Bharat Bijlee,24-01-2024,4511.90,2419
Bharat Bijlee,23-01-2024,4400.45,3138
Bharat Bijlee,20-01-2024,4583.75,2222
Bharat Bijlee,19-01-2024,4628.60,5148
Bharat Bijlee,18-01-2024,4571.80,9223
Bharat Bijlee,17-01-2024,4422.10,7101
Bharat Bijlee,16-01-2024,4395.45,4235
Bharat Bijlee,15-01-2024,4523.80,7772
Bharat Bijlee,12-01-2024,4654.60,34672
Bharat Bijlee,11-01-2024,4929.90,1814
Bharat Bijlee,10-01-2024,4896.55,2147
Bharat Bijlee,09-01-2024,4818.45,1803
Bharat Bijlee,08-01-2024,4818.15,1591
Bharat Bijlee,05-01-2024,4766.85,6179
Bharat Bijlee,04-01-2024,4825.60,2758
Bharat Bijlee,03-01-2024,4889.55,2396
Bharat Bijlee,02-01-2024,4956.00,5372
Bharat Bijlee,01-01-2024,4942.15,4485
