Company Name,Date,Close,Volume
Chalet Hotels,28-03-2024,883.40,79872
Chalet Hotels,27-03-2024,871.00,57122
Chalet Hotels,26-03-2024,861.30,192679
Chalet Hotels,22-03-2024,818.20,16168
Chalet Hotels,21-03-2024,821.70,37689
Chalet Hotels,20-03-2024,793.95,45325
Chalet Hotels,19-03-2024,742.05,6905
Chalet Hotels,18-03-2024,741.25,4820
Chalet Hotels,15-03-2024,734.15,48206
Chalet Hotels,14-03-2024,715.75,45963
Chalet Hotels,13-03-2024,724.60,36779
Chalet Hotels,12-03-2024,742.55,12615
Chalet Hotels,11-03-2024,742.05,10862
Chalet Hotels,07-03-2024,753.05,10732
Chalet Hotels,06-03-2024,764.95,25537
Chalet Hotels,05-03-2024,795.95,17170
Chalet Hotels,04-03-2024,812.95,14578
Chalet Hotels,02-03-2024,821.70,513
Chalet Hotels,01-03-2024,797.50,9792
Chalet Hotels,29-02-2024,810.45,8201
Chalet Hotels,28-02-2024,818.15,15187
Chalet Hotels,27-02-2024,840.40,12853
Chalet Hotels,26-02-2024,851.05,14004
Chalet Hotels,23-02-2024,863.05,16129
Chalet Hotels,22-02-2024,852.20,14122
Chalet Hotels,21-02-2024,830.45,7666
Chalet Hotels,20-02-2024,837.95,32976
Chalet Hotels,19-02-2024,838.60,7535
Chalet Hotels,16-02-2024,857.45,11860
Chalet Hotels,15-02-2024,840.25,15807
Chalet Hotels,14-02-2024,834.35,10908
Chalet Hotels,13-02-2024,834.15,9968
Chalet Hotels,12-02-2024,814.05,12168
Chalet Hotels,09-02-2024,819.65,25704
Chalet Hotels,08-02-2024,801.40,3815
Chalet Hotels,07-02-2024,806.00,12177
Chalet Hotels,06-02-2024,807.55,10905
Chalet Hotels,05-02-2024,781.80,39530
Chalet Hotels,02-02-2024,787.15,8458
Chalet Hotels,01-02-2024,760.30,10795
Chalet Hotels,31-01-2024,777.45,16404
Chalet Hotels,30-01-2024,753.80,15568
Chalet Hotels,29-01-2024,757.20,4648
Chalet Hotels,25-01-2024,761.70,31718
Chalet Hotels,24-01-2024,750.60,9591
Chalet Hotels,23-01-2024,754.25,38199
Chalet Hotels,20-01-2024,730.90,1811
Chalet Hotels,19-01-2024,716.10,18819
Chalet Hotels,18-01-2024,722.80,6168
Chalet Hotels,17-01-2024,723.55,7408
Chalet Hotels,16-01-2024,719.20,12154
Chalet Hotels,15-01-2024,740.45,8238
Chalet Hotels,12-01-2024,748.75,17603
Chalet Hotels,11-01-2024,750.05,8183
Chalet Hotels,10-01-2024,735.35,51530
Chalet Hotels,09-01-2024,724.95,68147
Chalet Hotels,08-01-2024,708.65,19196
Chalet Hotels,05-01-2024,684.75,9541
Chalet Hotels,04-01-2024,681.05,7035
Chalet Hotels,03-01-2024,677.45,4711
Chalet Hotels,02-01-2024,677.05,14884
Chalet Hotels,01-01-2024,687.75,7348
