Company Name,Date,Close,Volume
Dixon Technolog,28-03-2024,7480.90,5364
Dixon Technolog,27-03-2024,7410.35,9171
Dixon Technolog,26-03-2024,7243.60,4418
Dixon Technolog,22-03-2024,7161.30,4582
Dixon Technolog,21-03-2024,7067.65,8439
Dixon Technolog,20-03-2024,6955.50,10887
Dixon Technolog,19-03-2024,6944.35,7358
Dixon Technolog,18-03-2024,7033.40,4827
Dixon Technolog,15-03-2024,6960.95,11371
Dixon Technolog,14-03-2024,6805.90,6825
Dixon Technolog,13-03-2024,6597.40,24004
Dixon Technolog,12-03-2024,6897.90,5232
Dixon Technolog,11-03-2024,7048.30,6768
Dixon Technolog,07-03-2024,7142.05,12316
Dixon Technolog,06-03-2024,7164.60,13731
Dixon Technolog,05-03-2024,7057.65,5415
Dixon Technolog,04-03-2024,7161.00,18811
Dixon Technolog,02-03-2024,7037.80,3839
Dixon Technolog,01-03-2024,7007.65,15717
Dixon Technolog,29-02-2024,6681.50,15311
Dixon Technolog,28-02-2024,6545.00,11116
Dixon Technolog,27-02-2024,6758.40,25236
Dixon Technolog,26-02-2024,6943.00,14099
Dixon Technolog,23-02-2024,6866.00,7035
Dixon Technolog,22-02-2024,6771.90,6981
Dixon Technolog,21-02-2024,6728.50,7837
Dixon Technolog,20-02-2024,6704.10,39609
Dixon Technolog,19-02-2024,6752.40,64875
Dixon Technolog,16-02-2024,6380.00,3341
Dixon Technolog,15-02-2024,6359.35,13155
Dixon Technolog,14-02-2024,6343.25,3002
Dixon Technolog,13-02-2024,6293.80,4471
Dixon Technolog,12-02-2024,6267.85,4167
Dixon Technolog,09-02-2024,6274.35,9954
Dixon Technolog,08-02-2024,6224.55,3572
Dixon Technolog,07-02-2024,6307.55,3943
Dixon Technolog,06-02-2024,6355.25,6582
Dixon Technolog,05-02-2024,6255.50,13994
Dixon Technolog,02-02-2024,6236.95,10943
Dixon Technolog,01-02-2024,6122.70,29942
Dixon Technolog,31-01-2024,5985.35,62971
Dixon Technolog,30-01-2024,5862.70,6276
Dixon Technolog,29-01-2024,5871.05,4549
Dixon Technolog,25-01-2024,5874.45,42128
Dixon Technolog,24-01-2024,5913.05,22802
Dixon Technolog,23-01-2024,5856.25,11394
Dixon Technolog,20-01-2024,6018.05,16454
Dixon Technolog,19-01-2024,6101.85,24511
Dixon Technolog,18-01-2024,6301.65,23777
Dixon Technolog,17-01-2024,6369.05,4349
Dixon Technolog,16-01-2024,6341.60,16209
Dixon Technolog,15-01-2024,6331.85,15746
Dixon Technolog,12-01-2024,6552.95,8441
Dixon Technolog,11-01-2024,6488.15,7063
Dixon Technolog,10-01-2024,6325.75,5853
Dixon Technolog,09-01-2024,6354.00,10919
Dixon Technolog,08-01-2024,6325.50,4984
Dixon Technolog,05-01-2024,6375.30,20847
Dixon Technolog,04-01-2024,6399.10,4812
Dixon Technolog,03-01-2024,6349.30,13416
Dixon Technolog,02-01-2024,6316.60,22771
Dixon Technolog,01-01-2024,6446.80,9354
