Company Name,Date,Close,Volume
Dynacons Sys,28-03-2024,1023.65,60130
Dynacons Sys,27-03-2024,936.55,35146
Dynacons Sys,26-03-2024,782.40,7119
Dynacons Sys,22-03-2024,800.75,1344
Dynacons Sys,21-03-2024,809.05,1955
Dynacons Sys,20-03-2024,801.00,2283
Dynacons Sys,19-03-2024,797.15,3705
Dynacons Sys,18-03-2024,811.20,4459
Dynacons Sys,15-03-2024,788.90,3555
Dynacons Sys,14-03-2024,766.85,16524
Dynacons Sys,13-03-2024,709.65,6501
Dynacons Sys,12-03-2024,781.30,3121
Dynacons Sys,11-03-2024,814.90,3357
Dynacons Sys,07-03-2024,857.45,5702
Dynacons Sys,06-03-2024,824.10,18894
Dynacons Sys,05-03-2024,857.40,3353
Dynacons Sys,04-03-2024,871.90,6714
Dynacons Sys,02-03-2024,903.75,1647
Dynacons Sys,01-03-2024,894.00,10427
Dynacons Sys,29-02-2024,874.65,6030
Dynacons Sys,28-02-2024,875.20,5665
Dynacons Sys,27-02-2024,897.10,5300
Dynacons Sys,26-02-2024,881.45,5876
Dynacons Sys,23-02-2024,895.40,20648
Dynacons Sys,22-02-2024,917.45,100907
Dynacons Sys,21-02-2024,850.80,60854
Dynacons Sys,20-02-2024,726.40,11029
Dynacons Sys,19-02-2024,729.15,14604
Dynacons Sys,16-02-2024,752.55,4387
Dynacons Sys,15-02-2024,758.10,17759
Dynacons Sys,14-02-2024,781.70,21294
Dynacons Sys,13-02-2024,768.75,28468
Dynacons Sys,12-02-2024,756.15,50325
Dynacons Sys,09-02-2024,720.05,30303
Dynacons Sys,08-02-2024,708.10,10677
Dynacons Sys,07-02-2024,699.10,7938
Dynacons Sys,06-02-2024,667.35,9056
Dynacons Sys,05-02-2024,674.70,14442
Dynacons Sys,02-02-2024,653.10,1419
Dynacons Sys,01-02-2024,662.15,3539
Dynacons Sys,31-01-2024,652.25,4123
Dynacons Sys,30-01-2024,647.00,2247
Dynacons Sys,29-01-2024,651.85,4138
Dynacons Sys,25-01-2024,661.65,1685
Dynacons Sys,24-01-2024,652.35,2743
Dynacons Sys,23-01-2024,633.40,7534
Dynacons Sys,20-01-2024,667.50,780
Dynacons Sys,19-01-2024,670.50,4532
Dynacons Sys,18-01-2024,675.65,2553
Dynacons Sys,17-01-2024,690.75,10334
Dynacons Sys,16-01-2024,658.85,4924
Dynacons Sys,15-01-2024,688.35,4692
Dynacons Sys,12-01-2024,694.90,6079
Dynacons Sys,11-01-2024,687.90,6588
Dynacons Sys,10-01-2024,685.10,29910
Dynacons Sys,09-01-2024,641.95,1249
Dynacons Sys,08-01-2024,646.90,5879
Dynacons Sys,05-01-2024,648.00,1795
Dynacons Sys,04-01-2024,645.45,5485
Dynacons Sys,03-01-2024,658.95,2189
Dynacons Sys,02-01-2024,665.20,12670
Dynacons Sys,01-01-2024,641.60,4502
