Company Name,Date,Close,Volume
Force Motors,28-03-2024,7243.80,6590
Force Motors,27-03-2024,7192.00,3674
Force Motors,26-03-2024,7258.30,5493
Force Motors,22-03-2024,7140.00,6941
Force Motors,21-03-2024,7064.20,10034
Force Motors,20-03-2024,6868.30,7752
Force Motors,19-03-2024,6925.00,17815
Force Motors,18-03-2024,6881.35,22084
Force Motors,15-03-2024,6530.75,16547
Force Motors,14-03-2024,6108.30,14004
Force Motors,13-03-2024,5865.30,13211
Force Motors,12-03-2024,6459.15,11203
Force Motors,11-03-2024,6757.10,21352
Force Motors,07-03-2024,6484.75,15073
Force Motors,06-03-2024,5895.25,48199
Force Motors,05-03-2024,6432.15,8823
Force Motors,04-03-2024,6477.30,4774
Force Motors,02-03-2024,6651.95,1527
Force Motors,01-03-2024,6781.35,13465
Force Motors,29-02-2024,6766.60,21863
Force Motors,28-02-2024,6421.60,30781
Force Motors,27-02-2024,6078.10,10268
Force Motors,26-02-2024,6008.85,12656
Force Motors,23-02-2024,5882.40,10301
Force Motors,22-02-2024,5965.35,16183
Force Motors,21-02-2024,5749.20,32401
Force Motors,20-02-2024,6050.40,58947
Force Motors,19-02-2024,5720.20,58606
Force Motors,16-02-2024,5227.75,45949
Force Motors,15-02-2024,4969.40,79882
Force Motors,14-02-2024,4420.15,68810
Force Motors,13-02-2024,4424.80,116947
Force Motors,12-02-2024,4260.55,145048
Force Motors,09-02-2024,4138.15,32869
Force Motors,08-02-2024,4017.80,25450
Force Motors,07-02-2024,4132.80,27660
Force Motors,06-02-2024,4127.60,48293
Force Motors,05-02-2024,4065.45,78536
Force Motors,02-02-2024,3917.55,38499
Force Motors,01-02-2024,4043.75,51714
Force Motors,31-01-2024,3966.05,79573
Force Motors,30-01-2024,3661.45,18310
Force Motors,29-01-2024,3691.80,27576
Force Motors,25-01-2024,3525.00,22389
Force Motors,24-01-2024,3352.00,23321
Force Motors,23-01-2024,3418.85,17849
Force Motors,20-01-2024,3505.60,12867
Force Motors,19-01-2024,3558.35,12882
Force Motors,18-01-2024,3491.95,14165
Force Motors,17-01-2024,3554.95,19372
Force Motors,16-01-2024,3594.50,26309
Force Motors,15-01-2024,3722.35,14976
Force Motors,12-01-2024,3672.35,8589
Force Motors,11-01-2024,3693.85,9462
Force Motors,10-01-2024,3687.70,11095
Force Motors,09-01-2024,3728.80,21851
Force Motors,08-01-2024,3746.50,41869
Force Motors,05-01-2024,3603.55,16714
Force Motors,04-01-2024,3664.35,19078
Force Motors,03-01-2024,3723.50,30151
Force Motors,02-01-2024,3738.10,30852
Force Motors,01-01-2024,3684.20,16347
