Company Name,Date,Close,Volume
IFB Industries,28-03-2024,1502.65,7723
IFB Industries,27-03-2024,1368.75,549
IFB Industries,26-03-2024,1360.80,2320
IFB Industries,22-03-2024,1342.55,1237
IFB Industries,21-03-2024,1322.85,594
IFB Industries,20-03-2024,1311.10,2140
IFB Industries,19-03-2024,1298.60,891
IFB Industries,18-03-2024,1344.05,2130
IFB Industries,15-03-2024,1327.35,5125
IFB Industries,14-03-2024,1385.75,5024
IFB Industries,13-03-2024,1340.40,2411
IFB Industries,12-03-2024,1369.20,1788
IFB Industries,11-03-2024,1373.15,5213
IFB Industries,07-03-2024,1371.75,1494
IFB Industries,06-03-2024,1355.55,1350
IFB Industries,05-03-2024,1384.65,2035
IFB Industries,04-03-2024,1390.35,5208
IFB Industries,02-03-2024,1434.85,413
IFB Industries,01-03-2024,1384.85,1614
IFB Industries,29-02-2024,1382.70,968
IFB Industries,28-02-2024,1405.45,7479
IFB Industries,27-02-2024,1468.30,2698
IFB Industries,26-02-2024,1439.60,7903
IFB Industries,23-02-2024,1379.25,2044
IFB Industries,22-02-2024,1362.80,473
IFB Industries,21-02-2024,1359.00,3519
IFB Industries,20-02-2024,1389.25,2969
IFB Industries,19-02-2024,1360.20,7288
IFB Industries,16-02-2024,1339.50,631
IFB Industries,15-02-2024,1343.90,4080
IFB Industries,14-02-2024,1347.25,8084
IFB Industries,13-02-2024,1306.80,6985
IFB Industries,12-02-2024,1299.95,9996
IFB Industries,09-02-2024,1345.90,5163
IFB Industries,08-02-2024,1368.45,2815
IFB Industries,07-02-2024,1400.05,174333
IFB Industries,06-02-2024,1335.45,4400
IFB Industries,05-02-2024,1322.35,15258
IFB Industries,02-02-2024,1266.40,11066
IFB Industries,01-02-2024,1287.75,15168
IFB Industries,31-01-2024,1367.00,38930
IFB Industries,30-01-2024,1305.30,204860
IFB Industries,29-01-2024,1234.80,187061
IFB Industries,25-01-2024,1242.75,50934
IFB Industries,24-01-2024,1128.75,32657
IFB Industries,23-01-2024,1008.20,128972
IFB Industries,20-01-2024,996.50,2867
IFB Industries,19-01-2024,1017.40,5501
IFB Industries,18-01-2024,1011.65,5914
IFB Industries,17-01-2024,1000.35,1589
IFB Industries,16-01-2024,990.05,2475
IFB Industries,15-01-2024,976.65,3237
IFB Industries,12-01-2024,998.35,1023
IFB Industries,11-01-2024,1003.15,6570
IFB Industries,10-01-2024,980.60,902
IFB Industries,09-01-2024,964.60,2859
IFB Industries,08-01-2024,956.60,3218
IFB Industries,05-01-2024,988.40,1984
IFB Industries,04-01-2024,996.25,7351
IFB Industries,03-01-2024,983.20,3520
IFB Industries,02-01-2024,945.30,257202
IFB Industries,01-01-2024,953.10,633
