Company Name,Date,Close,Volume
INDUS TOWERS,28-03-2024,291.15,735298
INDUS TOWERS,27-03-2024,283.15,1006643
INDUS TOWERS,26-03-2024,283.70,1703433
INDUS TOWERS,22-03-2024,270.70,1085263
INDUS TOWERS,21-03-2024,250.15,493940
INDUS TOWERS,20-03-2024,250.75,1254370
INDUS TOWERS,19-03-2024,238.00,618846
INDUS TOWERS,18-03-2024,248.40,392895
INDUS TOWERS,15-03-2024,249.45,566342
INDUS TOWERS,14-03-2024,245.95,269149
INDUS TOWERS,13-03-2024,236.05,576805
INDUS TOWERS,12-03-2024,247.10,257893
INDUS TOWERS,11-03-2024,247.20,245634
INDUS TOWERS,07-03-2024,255.35,234833
INDUS TOWERS,06-03-2024,252.85,946926
INDUS TOWERS,05-03-2024,261.55,1494121
INDUS TOWERS,04-03-2024,268.25,543319
INDUS TOWERS,02-03-2024,265.60,181526
INDUS TOWERS,01-03-2024,263.15,1147076
INDUS TOWERS,29-02-2024,252.45,805785
INDUS TOWERS,28-02-2024,244.20,1968147
INDUS TOWERS,27-02-2024,240.25,806690
INDUS TOWERS,26-02-2024,246.30,1364065
INDUS TOWERS,23-02-2024,241.05,2494076
INDUS TOWERS,22-02-2024,225.05,537501
INDUS TOWERS,21-02-2024,219.65,849433
INDUS TOWERS,20-02-2024,221.50,372015
INDUS TOWERS,19-02-2024,223.40,789266
INDUS TOWERS,16-02-2024,220.90,496938
INDUS TOWERS,15-02-2024,221.30,584470
INDUS TOWERS,14-02-2024,216.00,545011
INDUS TOWERS,13-02-2024,209.40,768867
INDUS TOWERS,12-02-2024,213.65,507391
INDUS TOWERS,09-02-2024,226.10,1154763
INDUS TOWERS,08-02-2024,227.70,818960
INDUS TOWERS,07-02-2024,225.50,38589804
INDUS TOWERS,06-02-2024,221.25,963292
INDUS TOWERS,05-02-2024,214.40,935500
INDUS TOWERS,02-02-2024,216.25,741852
INDUS TOWERS,01-02-2024,219.00,228377873
INDUS TOWERS,31-01-2024,222.00,466128
INDUS TOWERS,30-01-2024,229.75,397845
INDUS TOWERS,29-01-2024,232.05,385638
INDUS TOWERS,25-01-2024,225.40,3493290
INDUS TOWERS,24-01-2024,229.80,2358351
INDUS TOWERS,23-01-2024,217.25,706701
INDUS TOWERS,20-01-2024,215.50,309931
INDUS TOWERS,19-01-2024,220.35,426641
INDUS TOWERS,18-01-2024,215.80,617563
INDUS TOWERS,17-01-2024,211.05,482813
INDUS TOWERS,16-01-2024,219.65,1015549
INDUS TOWERS,15-01-2024,218.50,210250
INDUS TOWERS,12-01-2024,216.35,236714
INDUS TOWERS,11-01-2024,214.55,533555
INDUS TOWERS,10-01-2024,214.40,815515
INDUS TOWERS,09-01-2024,211.40,542429
INDUS TOWERS,08-01-2024,213.10,744614
INDUS TOWERS,05-01-2024,222.30,2020212
INDUS TOWERS,04-01-2024,216.45,644939
INDUS TOWERS,03-01-2024,207.65,1102368
INDUS TOWERS,02-01-2024,202.35,1149599
INDUS TOWERS,01-01-2024,202.90,1626377
