Company Name,Date,Close,Volume
Interglobe Avi,28-03-2024,3544.50,184987
Interglobe Avi,27-03-2024,3545.05,28017
Interglobe Avi,26-03-2024,3492.20,51574
Interglobe Avi,22-03-2024,3285.50,13034
Interglobe Avi,21-03-2024,3290.25,12813
Interglobe Avi,20-03-2024,3213.65,11368
Interglobe Avi,19-03-2024,3232.30,52624
Interglobe Avi,18-03-2024,3248.10,17171
Interglobe Avi,15-03-2024,3203.35,12308
Interglobe Avi,14-03-2024,3176.40,18255
Interglobe Avi,13-03-2024,3112.25,328231
Interglobe Avi,12-03-2024,3244.25,99938
Interglobe Avi,11-03-2024,3214.25,24099288
Interglobe Avi,07-03-2024,3101.55,4831
Interglobe Avi,06-03-2024,3069.25,31373
Interglobe Avi,05-03-2024,3186.60,139265
Interglobe Avi,04-03-2024,3170.45,10451
Interglobe Avi,02-03-2024,3164.05,854
Interglobe Avi,01-03-2024,3156.95,6455
Interglobe Avi,29-02-2024,3155.10,16605
Interglobe Avi,28-02-2024,3121.70,4245
Interglobe Avi,27-02-2024,3181.40,5871
Interglobe Avi,26-02-2024,3181.80,15855
Interglobe Avi,23-02-2024,3179.05,64676
Interglobe Avi,22-02-2024,3127.35,14094
Interglobe Avi,21-02-2024,3096.40,7465
Interglobe Avi,20-02-2024,3114.85,37437
Interglobe Avi,19-02-2024,3068.55,14278
Interglobe Avi,16-02-2024,3045.75,21220
Interglobe Avi,15-02-2024,3029.25,11697
Interglobe Avi,14-02-2024,3093.25,70900
Interglobe Avi,13-02-2024,3041.85,5566
Interglobe Avi,12-02-2024,3060.85,13818
Interglobe Avi,09-02-2024,3106.50,29038
Interglobe Avi,08-02-2024,3130.15,12185
Interglobe Avi,07-02-2024,3113.95,8921
Interglobe Avi,06-02-2024,3134.00,41508
Interglobe Avi,05-02-2024,3171.70,56845
Interglobe Avi,02-02-2024,3127.00,45141
Interglobe Avi,01-02-2024,3067.50,27591
Interglobe Avi,31-01-2024,2960.95,14750
Interglobe Avi,30-01-2024,2929.30,19199
Interglobe Avi,29-01-2024,2899.10,18247
Interglobe Avi,25-01-2024,2864.85,10426
Interglobe Avi,24-01-2024,2910.45,18068
Interglobe Avi,23-01-2024,2912.10,13126
Interglobe Avi,20-01-2024,3043.60,7293
Interglobe Avi,19-01-2024,3030.15,10686
Interglobe Avi,18-01-2024,3052.65,11409
Interglobe Avi,17-01-2024,3058.05,12293
Interglobe Avi,16-01-2024,3049.05,21346
Interglobe Avi,15-01-2024,3119.70,16196
Interglobe Avi,12-01-2024,3072.20,28257
Interglobe Avi,11-01-2024,3051.30,8545
Interglobe Avi,10-01-2024,3081.35,21532
Interglobe Avi,09-01-2024,3012.40,18696
Interglobe Avi,08-01-2024,2950.85,13710
Interglobe Avi,05-01-2024,2955.45,11821
Interglobe Avi,04-01-2024,2995.55,16146
Interglobe Avi,03-01-2024,2993.20,20321
Interglobe Avi,02-01-2024,2927.25,11133
Interglobe Avi,01-01-2024,2975.65,23590
