Company Name,Date,Close,Volume
JSW Holdings,28-03-2024,7199.60,1197
JSW Holdings,27-03-2024,7229.25,1323
JSW Holdings,26-03-2024,6987.00,2306
JSW Holdings,22-03-2024,7215.05,6711
JSW Holdings,21-03-2024,6217.55,15763
JSW Holdings,20-03-2024,6020.45,31282
JSW Holdings,19-03-2024,6355.95,1360
JSW Holdings,18-03-2024,6551.60,281
JSW Holdings,15-03-2024,6565.00,764
JSW Holdings,14-03-2024,6411.40,635
JSW Holdings,13-03-2024,6267.45,1234
JSW Holdings,12-03-2024,6737.70,849
JSW Holdings,11-03-2024,7011.65,611
JSW Holdings,07-03-2024,7177.85,1139
JSW Holdings,06-03-2024,7070.20,1765
JSW Holdings,05-03-2024,7038.50,1612
JSW Holdings,04-03-2024,6823.80,49392
JSW Holdings,02-03-2024,6617.80,159
JSW Holdings,01-03-2024,6522.70,160
JSW Holdings,29-02-2024,6408.80,566
JSW Holdings,28-02-2024,6447.55,330
JSW Holdings,27-02-2024,6532.85,726
JSW Holdings,26-02-2024,6680.35,318
JSW Holdings,23-02-2024,6660.75,781
JSW Holdings,22-02-2024,6762.00,668
JSW Holdings,21-02-2024,6714.10,1634
JSW Holdings,20-02-2024,6352.25,873
JSW Holdings,19-02-2024,6252.05,671
JSW Holdings,16-02-2024,6231.70,244
JSW Holdings,15-02-2024,6164.25,884
JSW Holdings,14-02-2024,6203.60,1051
JSW Holdings,13-02-2024,6191.10,956
JSW Holdings,12-02-2024,6591.15,2531
JSW Holdings,09-02-2024,5864.95,544
JSW Holdings,08-02-2024,5977.00,221
JSW Holdings,07-02-2024,6036.00,196
JSW Holdings,06-02-2024,6116.55,123
JSW Holdings,05-02-2024,6070.55,409
JSW Holdings,02-02-2024,6055.75,445
JSW Holdings,01-02-2024,6064.50,409
JSW Holdings,31-01-2024,6146.95,565
JSW Holdings,30-01-2024,6248.80,2820
JSW Holdings,29-01-2024,5531.10,675
JSW Holdings,25-01-2024,5550.15,51721
JSW Holdings,24-01-2024,5526.30,287
JSW Holdings,23-01-2024,5348.10,336
JSW Holdings,20-01-2024,5433.25,284
JSW Holdings,19-01-2024,5474.45,80
JSW Holdings,18-01-2024,5362.40,367
JSW Holdings,17-01-2024,5385.45,321
JSW Holdings,16-01-2024,5493.90,1266
JSW Holdings,15-01-2024,5422.00,2078
JSW Holdings,12-01-2024,5186.00,71
JSW Holdings,11-01-2024,5088.85,370
JSW Holdings,10-01-2024,5078.25,21546
JSW Holdings,09-01-2024,4962.05,134
JSW Holdings,08-01-2024,5018.90,208
JSW Holdings,05-01-2024,5021.95,32594
JSW Holdings,04-01-2024,5100.00,15146
JSW Holdings,03-01-2024,5081.85,146
JSW Holdings,02-01-2024,5141.20,82
JSW Holdings,01-01-2024,5169.65,391
