Company Name,Date,Close,Volume
JTEKT India ,28-03-2024,175.95,157432
JTEKT India ,27-03-2024,163.20,73769
JTEKT India ,26-03-2024,157.75,10909
JTEKT India ,22-03-2024,156.40,8143
JTEKT India ,21-03-2024,159.65,64350
JTEKT India ,20-03-2024,151.25,53089
JTEKT India ,19-03-2024,150.20,30128
JTEKT India ,18-03-2024,148.85,26494
JTEKT India ,15-03-2024,153.80,39757
JTEKT India ,14-03-2024,155.65,35363
JTEKT India ,13-03-2024,140.70,22062
JTEKT India ,12-03-2024,150.75,16807
JTEKT India ,11-03-2024,158.55,11671
JTEKT India ,07-03-2024,162.75,41401
JTEKT India ,06-03-2024,155.75,42167
JTEKT India ,05-03-2024,162.10,22439
JTEKT India ,04-03-2024,160.15,14553
JTEKT India ,02-03-2024,161.75,3782
JTEKT India ,01-03-2024,160.10,82430
JTEKT India ,29-02-2024,152.40,76146
JTEKT India ,28-02-2024,145.75,19728
JTEKT India ,27-02-2024,151.60,38427
JTEKT India ,26-02-2024,148.50,12842
JTEKT India ,23-02-2024,150.90,15857
JTEKT India ,22-02-2024,146.55,9196
JTEKT India ,21-02-2024,147.05,22710
JTEKT India ,20-02-2024,148.60,17077
JTEKT India ,19-02-2024,148.10,18827
JTEKT India ,16-02-2024,149.75,4754
JTEKT India ,15-02-2024,147.05,15656
JTEKT India ,14-02-2024,150.20,37146
JTEKT India ,13-02-2024,150.90,9541
JTEKT India ,12-02-2024,147.15,8097
JTEKT India ,09-02-2024,154.60,14125
JTEKT India ,08-02-2024,159.70,28458
JTEKT India ,07-02-2024,162.50,27247
JTEKT India ,06-02-2024,163.25,81082
JTEKT India ,05-02-2024,155.70,17678
JTEKT India ,02-02-2024,159.40,13045
JTEKT India ,01-02-2024,159.45,27078
JTEKT India ,31-01-2024,160.90,8500
JTEKT India ,30-01-2024,162.25,16946
JTEKT India ,29-01-2024,163.40,28532
JTEKT India ,25-01-2024,165.00,28646
JTEKT India ,24-01-2024,166.25,62969
JTEKT India ,23-01-2024,158.95,43658
JTEKT India ,20-01-2024,169.50,58752
JTEKT India ,19-01-2024,161.00,27333
JTEKT India ,18-01-2024,162.30,26264
JTEKT India ,17-01-2024,163.20,43011
JTEKT India ,16-01-2024,162.95,41755
JTEKT India ,15-01-2024,167.65,45825
JTEKT India ,12-01-2024,169.05,67043
JTEKT India ,11-01-2024,171.75,21145
JTEKT India ,10-01-2024,171.60,98220
JTEKT India ,09-01-2024,174.90,93810
JTEKT India ,08-01-2024,165.50,106531
JTEKT India ,05-01-2024,169.30,103026
JTEKT India ,04-01-2024,176.60,120096
JTEKT India ,03-01-2024,177.75,309939
JTEKT India ,02-01-2024,170.95,325762
JTEKT India ,01-01-2024,158.80,66125
