Company Name,Date,Close,Volume
Jyoti CNC Auto,28-03-2024,820.75,64679
Jyoti CNC Auto,27-03-2024,799.75,136089
Jyoti CNC Auto,26-03-2024,729.85,61738
Jyoti CNC Auto,22-03-2024,693.70,20844
Jyoti CNC Auto,21-03-2024,630.65,16309
Jyoti CNC Auto,20-03-2024,618.00,16142
Jyoti CNC Auto,19-03-2024,616.05,4750
Jyoti CNC Auto,18-03-2024,620.90,31164
Jyoti CNC Auto,15-03-2024,600.75,7791
Jyoti CNC Auto,14-03-2024,601.55,26970
Jyoti CNC Auto,13-03-2024,582.10,31067
Jyoti CNC Auto,12-03-2024,614.80,12806
Jyoti CNC Auto,11-03-2024,625.80,22085
Jyoti CNC Auto,07-03-2024,639.25,29048
Jyoti CNC Auto,06-03-2024,648.55,56832
Jyoti CNC Auto,05-03-2024,644.65,25830
Jyoti CNC Auto,04-03-2024,622.30,35711
Jyoti CNC Auto,02-03-2024,609.50,6205
Jyoti CNC Auto,01-03-2024,617.45,21901
Jyoti CNC Auto,29-02-2024,587.05,12146
Jyoti CNC Auto,28-02-2024,604.35,29535
Jyoti CNC Auto,27-02-2024,610.45,29418
Jyoti CNC Auto,26-02-2024,594.85,13830
Jyoti CNC Auto,23-02-2024,603.10,55779
Jyoti CNC Auto,22-02-2024,626.50,15690
Jyoti CNC Auto,21-02-2024,647.45,28988
Jyoti CNC Auto,20-02-2024,643.95,47104
Jyoti CNC Auto,19-02-2024,652.55,43428
Jyoti CNC Auto,16-02-2024,630.10,62934
Jyoti CNC Auto,15-02-2024,628.15,219229
Jyoti CNC Auto,14-02-2024,590.00,118125
Jyoti CNC Auto,13-02-2024,580.65,149782
Jyoti CNC Auto,12-02-2024,547.50,41996
Jyoti CNC Auto,09-02-2024,596.05,93827
Jyoti CNC Auto,08-02-2024,592.85,60404
Jyoti CNC Auto,07-02-2024,570.20,7750
Jyoti CNC Auto,06-02-2024,576.10,48550
Jyoti CNC Auto,05-02-2024,570.80,86409
Jyoti CNC Auto,02-02-2024,586.40,162991
Jyoti CNC Auto,01-02-2024,609.45,497178
Jyoti CNC Auto,31-01-2024,553.80,379860
Jyoti CNC Auto,30-01-2024,461.50,224136
Jyoti CNC Auto,29-01-2024,448.80,132933
Jyoti CNC Auto,25-01-2024,444.55,198861
Jyoti CNC Auto,24-01-2024,421.05,303782
Jyoti CNC Auto,23-01-2024,420.10,308896
Jyoti CNC Auto,20-01-2024,431.05,66519
Jyoti CNC Auto,19-01-2024,435.45,385310
Jyoti CNC Auto,18-01-2024,454.10,468370
Jyoti CNC Auto,17-01-2024,427.55,408466
Jyoti CNC Auto,16-01-2024,433.15,1731010
