Company Name,Date,Close,Volume
Kalyan Jeweller,28-03-2024,428.00,423356
Kalyan Jeweller,27-03-2024,415.40,311587
Kalyan Jeweller,26-03-2024,401.00,304901
Kalyan Jeweller,22-03-2024,385.30,56798
Kalyan Jeweller,21-03-2024,378.00,26643
Kalyan Jeweller,20-03-2024,366.90,50835
Kalyan Jeweller,19-03-2024,366.55,83994
Kalyan Jeweller,18-03-2024,373.15,133612
Kalyan Jeweller,15-03-2024,370.80,65891
Kalyan Jeweller,14-03-2024,385.25,111619
Kalyan Jeweller,13-03-2024,388.55,661365
Kalyan Jeweller,12-03-2024,381.65,70674
Kalyan Jeweller,11-03-2024,395.95,257463
Kalyan Jeweller,07-03-2024,409.50,62987
Kalyan Jeweller,06-03-2024,405.30,87304
Kalyan Jeweller,05-03-2024,402.25,72505
Kalyan Jeweller,04-03-2024,408.55,89299
Kalyan Jeweller,02-03-2024,410.85,26344
Kalyan Jeweller,01-03-2024,399.30,143750
Kalyan Jeweller,29-02-2024,396.75,464191
Kalyan Jeweller,28-02-2024,378.65,79158
Kalyan Jeweller,27-02-2024,370.40,48201
Kalyan Jeweller,26-02-2024,379.30,36821
Kalyan Jeweller,23-02-2024,384.35,44310
Kalyan Jeweller,22-02-2024,383.60,81342
Kalyan Jeweller,21-02-2024,375.90,457978
Kalyan Jeweller,20-02-2024,364.65,215099
Kalyan Jeweller,19-02-2024,374.15,105877
Kalyan Jeweller,16-02-2024,384.30,243271
Kalyan Jeweller,15-02-2024,392.05,258707
Kalyan Jeweller,14-02-2024,364.10,265922
Kalyan Jeweller,13-02-2024,366.25,101451
Kalyan Jeweller,12-02-2024,363.65,217170
Kalyan Jeweller,09-02-2024,357.55,247854
Kalyan Jeweller,08-02-2024,345.10,20760547
Kalyan Jeweller,07-02-2024,338.85,303157
Kalyan Jeweller,06-02-2024,330.05,72730
Kalyan Jeweller,05-02-2024,339.45,373169
Kalyan Jeweller,02-02-2024,348.20,165915
Kalyan Jeweller,01-02-2024,333.55,606886
Kalyan Jeweller,31-01-2024,350.30,678351
Kalyan Jeweller,30-01-2024,368.35,256941
Kalyan Jeweller,29-01-2024,355.10,52566
Kalyan Jeweller,25-01-2024,354.90,134072
Kalyan Jeweller,24-01-2024,362.20,148911
Kalyan Jeweller,23-01-2024,352.60,349579
Kalyan Jeweller,20-01-2024,361.55,47411
Kalyan Jeweller,19-01-2024,364.25,51834
Kalyan Jeweller,18-01-2024,361.65,74131
Kalyan Jeweller,17-01-2024,361.95,278283
Kalyan Jeweller,16-01-2024,368.40,257322
Kalyan Jeweller,15-01-2024,384.80,117965
Kalyan Jeweller,12-01-2024,389.10,187619
Kalyan Jeweller,11-01-2024,391.20,101088
Kalyan Jeweller,10-01-2024,380.10,93895
Kalyan Jeweller,09-01-2024,382.20,149334
Kalyan Jeweller,08-01-2024,372.20,495970
Kalyan Jeweller,05-01-2024,358.30,236437
Kalyan Jeweller,04-01-2024,363.75,186723
Kalyan Jeweller,03-01-2024,359.85,234786
Kalyan Jeweller,02-01-2024,363.20,164909
Kalyan Jeweller,01-01-2024,361.65,304239
