Company Name,Date,Close,Volume
Maruti Suzuki,28-03-2024,12613.10,16926
Maruti Suzuki,27-03-2024,12520.30,16695
Maruti Suzuki,26-03-2024,12255.95,40760
Maruti Suzuki,22-03-2024,12336.20,26854
Maruti Suzuki,21-03-2024,11913.80,12121
Maruti Suzuki,20-03-2024,11941.80,25643
Maruti Suzuki,19-03-2024,11597.25,12661
Maruti Suzuki,18-03-2024,11635.55,13351
Maruti Suzuki,15-03-2024,11477.80,15118
Maruti Suzuki,14-03-2024,11397.05,29491
Maruti Suzuki,13-03-2024,11390.80,19370
Maruti Suzuki,12-03-2024,11506.75,5029
Maruti Suzuki,11-03-2024,11393.10,3466
Maruti Suzuki,07-03-2024,11502.90,15465
Maruti Suzuki,06-03-2024,11576.90,12333
Maruti Suzuki,05-03-2024,11669.15,12631
Maruti Suzuki,04-03-2024,11595.30,4611
Maruti Suzuki,02-03-2024,11570.90,319
Maruti Suzuki,01-03-2024,11608.05,17496
Maruti Suzuki,29-02-2024,11269.35,16749
Maruti Suzuki,28-02-2024,11150.60,10630
Maruti Suzuki,27-02-2024,11502.85,2658
Maruti Suzuki,26-02-2024,11459.45,3944
Maruti Suzuki,23-02-2024,11539.15,20610
Maruti Suzuki,22-02-2024,11675.50,12499
Maruti Suzuki,21-02-2024,11469.70,3268
Maruti Suzuki,20-02-2024,11446.05,7665
Maruti Suzuki,19-02-2024,11483.75,7601
Maruti Suzuki,16-02-2024,11367.65,25455
Maruti Suzuki,15-02-2024,11087.80,5592
Maruti Suzuki,14-02-2024,11026.85,10936
Maruti Suzuki,13-02-2024,10791.75,3664
Maruti Suzuki,12-02-2024,10709.40,3035
Maruti Suzuki,09-02-2024,10730.35,22592
Maruti Suzuki,08-02-2024,10749.60,6446
Maruti Suzuki,07-02-2024,10931.55,19263
Maruti Suzuki,06-02-2024,10848.55,18016
Maruti Suzuki,05-02-2024,10425.35,6529
Maruti Suzuki,02-02-2024,10652.05,20835
Maruti Suzuki,01-02-2024,10631.45,38076
Maruti Suzuki,31-01-2024,10183.30,26155
Maruti Suzuki,30-01-2024,9957.25,12797
Maruti Suzuki,29-01-2024,9993.50,12106
Maruti Suzuki,25-01-2024,9886.80,48424
Maruti Suzuki,24-01-2024,9970.10,14411
Maruti Suzuki,23-01-2024,9863.70,24535
Maruti Suzuki,20-01-2024,9974.10,2488
Maruti Suzuki,19-01-2024,10031.05,26867
Maruti Suzuki,18-01-2024,9921.15,54067
Maruti Suzuki,17-01-2024,10052.35,15551
Maruti Suzuki,16-01-2024,10187.50,27783
Maruti Suzuki,15-01-2024,10086.45,5153
Maruti Suzuki,12-01-2024,9962.30,156791
Maruti Suzuki,11-01-2024,10008.05,27766
Maruti Suzuki,10-01-2024,10002.05,20910
Maruti Suzuki,09-01-2024,10023.05,25518
Maruti Suzuki,08-01-2024,9947.30,15007
Maruti Suzuki,05-01-2024,10018.80,16795
Maruti Suzuki,04-01-2024,10015.80,7921
Maruti Suzuki,03-01-2024,10075.45,18740
Maruti Suzuki,02-01-2024,10196.70,5248
Maruti Suzuki,01-01-2024,10281.75,4551
