Company Name,Date,Close,Volume
Nila Spaces,28-03-2024,5.40,69268
Nila Spaces,27-03-2024,5.48,85627
Nila Spaces,26-03-2024,5.75,331042
Nila Spaces,22-03-2024,5.58,345526
Nila Spaces,21-03-2024,5.32,980626
Nila Spaces,20-03-2024,5.07,169985
Nila Spaces,19-03-2024,4.88,70084
Nila Spaces,18-03-2024,5.13,135109
Nila Spaces,15-03-2024,4.99,150643
Nila Spaces,14-03-2024,4.90,168127
Nila Spaces,13-03-2024,5.00,7927
Nila Spaces,12-03-2024,5.10,27940
Nila Spaces,11-03-2024,5.20,148485
Nila Spaces,07-03-2024,5.30,81797
Nila Spaces,06-03-2024,5.20,93188
Nila Spaces,05-03-2024,5.30,44778
Nila Spaces,04-03-2024,5.30,370468
Nila Spaces,02-03-2024,5.37,1256
Nila Spaces,01-03-2024,5.47,249752
Nila Spaces,29-02-2024,5.58,103245
Nila Spaces,28-02-2024,5.69,189086
Nila Spaces,27-02-2024,5.80,779029
Nila Spaces,26-02-2024,5.79,260438
Nila Spaces,23-02-2024,5.68,207780
Nila Spaces,22-02-2024,5.57,403908
Nila Spaces,21-02-2024,5.47,401450
Nila Spaces,20-02-2024,5.37,629009
Nila Spaces,19-02-2024,5.27,181371
Nila Spaces,16-02-2024,5.37,84078
Nila Spaces,15-02-2024,5.47,144696
Nila Spaces,14-02-2024,5.58,280135
Nila Spaces,13-02-2024,5.69,3664876
Nila Spaces,12-02-2024,5.42,798433
Nila Spaces,09-02-2024,5.17,458499
Nila Spaces,08-02-2024,4.93,523100
Nila Spaces,07-02-2024,4.70,132609
Nila Spaces,06-02-2024,4.72,113301
Nila Spaces,05-02-2024,4.71,106442
Nila Spaces,02-02-2024,4.68,133181
Nila Spaces,01-02-2024,4.80,200249
Nila Spaces,31-01-2024,4.84,218430
Nila Spaces,30-01-2024,4.86,117163
Nila Spaces,29-01-2024,4.94,210328
Nila Spaces,25-01-2024,4.77,41481
Nila Spaces,24-01-2024,4.70,160195
Nila Spaces,23-01-2024,4.85,473220
Nila Spaces,20-01-2024,4.75,58799
Nila Spaces,19-01-2024,4.70,106758
Nila Spaces,18-01-2024,4.70,59742
Nila Spaces,17-01-2024,4.73,220906
Nila Spaces,16-01-2024,4.90,118351
Nila Spaces,15-01-2024,4.99,92038
Nila Spaces,12-01-2024,4.88,98209
Nila Spaces,11-01-2024,4.92,81526
Nila Spaces,10-01-2024,4.89,145035
Nila Spaces,09-01-2024,4.98,208973
Nila Spaces,08-01-2024,5.04,115999
Nila Spaces,05-01-2024,5.00,291038
Nila Spaces,04-01-2024,4.93,229462
Nila Spaces,03-01-2024,4.70,63340
Nila Spaces,02-01-2024,4.63,61058
Nila Spaces,01-01-2024,4.66,107286
