Company Name,Date,Close,Volume
Onelife Capital,28-03-2024,29.84,20536
Onelife Capital,27-03-2024,27.13,144972
Onelife Capital,26-03-2024,24.67,219419
Onelife Capital,22-03-2024,20.56,136228
Onelife Capital,21-03-2024,17.14,39279
Onelife Capital,20-03-2024,14.29,3499
Onelife Capital,19-03-2024,15.31,2014
Onelife Capital,18-03-2024,15.90,1263
Onelife Capital,15-03-2024,15.44,6105
Onelife Capital,14-03-2024,16.21,5450
Onelife Capital,13-03-2024,15.34,16854
Onelife Capital,12-03-2024,16.01,9737
Onelife Capital,11-03-2024,17.09,2863
Onelife Capital,07-03-2024,18.06,8037
Onelife Capital,06-03-2024,18.41,16997
Onelife Capital,05-03-2024,19.52,10815
Onelife Capital,04-03-2024,19.84,52255
Onelife Capital,02-03-2024,19.95,9595
Onelife Capital,01-03-2024,19.00,4974
Onelife Capital,29-02-2024,18.63,5952
Onelife Capital,28-02-2024,18.44,3784
Onelife Capital,27-02-2024,18.90,1168
Onelife Capital,26-02-2024,18.86,5911
Onelife Capital,23-02-2024,19.52,4527
Onelife Capital,22-02-2024,20.16,3865
Onelife Capital,21-02-2024,19.90,7374
Onelife Capital,20-02-2024,20.00,3116
Onelife Capital,19-02-2024,19.72,20471
Onelife Capital,16-02-2024,19.54,1333
Onelife Capital,15-02-2024,19.09,7382
Onelife Capital,14-02-2024,19.04,11241
Onelife Capital,13-02-2024,18.31,3610
Onelife Capital,12-02-2024,18.30,4780
Onelife Capital,09-02-2024,18.33,7748
Onelife Capital,08-02-2024,18.97,28882
Onelife Capital,07-02-2024,18.12,24716
Onelife Capital,06-02-2024,17.26,3591
Onelife Capital,05-02-2024,17.31,38227
Onelife Capital,02-02-2024,17.00,5813
Onelife Capital,01-02-2024,17.09,2800
Onelife Capital,31-01-2024,17.24,766
Onelife Capital,30-01-2024,16.80,933
Onelife Capital,29-01-2024,16.57,5299
Onelife Capital,25-01-2024,16.94,4816
Onelife Capital,24-01-2024,16.70,3791
Onelife Capital,23-01-2024,16.61,12408
Onelife Capital,20-01-2024,17.00,2170
Onelife Capital,19-01-2024,16.80,1891
Onelife Capital,18-01-2024,16.42,4595
Onelife Capital,17-01-2024,16.40,6322
Onelife Capital,16-01-2024,16.73,6579
Onelife Capital,15-01-2024,17.20,5229
Onelife Capital,12-01-2024,17.08,8892
Onelife Capital,11-01-2024,17.02,6635
Onelife Capital,10-01-2024,17.48,1271
Onelife Capital,09-01-2024,17.25,1696
Onelife Capital,08-01-2024,16.89,7586
Onelife Capital,05-01-2024,17.04,22363
Onelife Capital,04-01-2024,17.40,2495
Onelife Capital,03-01-2024,17.50,2835
Onelife Capital,02-01-2024,17.26,1848
Onelife Capital,01-01-2024,17.14,20054
