Company Name,Date,Close,Volume
Rico Auto,28-03-2024,145.20,191760
Rico Auto,27-03-2024,148.15,665588
Rico Auto,26-03-2024,139.55,107441
Rico Auto,22-03-2024,143.35,182132
Rico Auto,21-03-2024,146.95,1115069
Rico Auto,20-03-2024,135.15,375269
Rico Auto,19-03-2024,130.50,217222
Rico Auto,18-03-2024,130.85,282886
Rico Auto,15-03-2024,133.25,694774
Rico Auto,14-03-2024,131.90,692954
Rico Auto,13-03-2024,110.70,457521
Rico Auto,12-03-2024,125.40,806416
Rico Auto,11-03-2024,133.55,913266
Rico Auto,07-03-2024,138.90,989823
Rico Auto,06-03-2024,126.30,749301
Rico Auto,05-03-2024,131.95,436515
Rico Auto,04-03-2024,133.65,1618722
Rico Auto,02-03-2024,129.95,256448
Rico Auto,01-03-2024,123.80,1732479
Rico Auto,29-02-2024,103.20,540188
Rico Auto,28-02-2024,95.05,68972
Rico Auto,27-02-2024,98.20,131279
Rico Auto,26-02-2024,98.80,259458
Rico Auto,23-02-2024,100.10,245716
Rico Auto,22-02-2024,92.65,51734
Rico Auto,21-02-2024,93.15,73707
Rico Auto,20-02-2024,94.30,51296
Rico Auto,19-02-2024,94.40,108558
Rico Auto,16-02-2024,92.75,92959
Rico Auto,15-02-2024,93.45,35423
Rico Auto,14-02-2024,92.75,29954
Rico Auto,13-02-2024,90.75,89186
Rico Auto,12-02-2024,86.80,136764
Rico Auto,09-02-2024,92.70,220837
Rico Auto,08-02-2024,95.45,227340
Rico Auto,07-02-2024,96.90,487559
Rico Auto,06-02-2024,106.55,289381
Rico Auto,05-02-2024,105.10,369506
Rico Auto,02-02-2024,102.40,250421
Rico Auto,01-02-2024,99.00,183088
Rico Auto,31-01-2024,101.74,238363
Rico Auto,30-01-2024,101.98,414041
Rico Auto,29-01-2024,100.49,461095
Rico Auto,25-01-2024,97.15,135229
Rico Auto,24-01-2024,93.03,73780
Rico Auto,23-01-2024,90.37,159276
Rico Auto,20-01-2024,94.98,139803
Rico Auto,19-01-2024,90.91,73545
Rico Auto,18-01-2024,90.40,68855
Rico Auto,17-01-2024,90.84,55210
Rico Auto,16-01-2024,92.70,123011
Rico Auto,15-01-2024,93.22,167455
Rico Auto,12-01-2024,94.84,103799
Rico Auto,11-01-2024,96.54,405465
Rico Auto,10-01-2024,94.89,277769
Rico Auto,09-01-2024,92.23,196744
Rico Auto,08-01-2024,88.49,108731
Rico Auto,05-01-2024,90.41,157184
Rico Auto,04-01-2024,91.45,109891
Rico Auto,03-01-2024,91.40,310253
Rico Auto,02-01-2024,89.81,156531
Rico Auto,01-01-2024,87.26,23645
