Company Name,Date,Close,Volume
SEMAC CONSULT,28-03-2024,3031.00,60
SEMAC CONSULT,27-03-2024,3010.15,1310
SEMAC CONSULT,26-03-2024,2914.90,35
SEMAC CONSULT,22-03-2024,2719.00,32
SEMAC CONSULT,21-03-2024,2775.00,31
SEMAC CONSULT,20-03-2024,2855.80,92
SEMAC CONSULT,19-03-2024,2802.65,11
SEMAC CONSULT,15-03-2024,2877.05,326
SEMAC CONSULT,14-03-2024,2841.95,103
SEMAC CONSULT,13-03-2024,2697.40,120
SEMAC CONSULT,12-03-2024,2655.00,93
SEMAC CONSULT,11-03-2024,2671.80,63
SEMAC CONSULT,07-03-2024,2717.35,32
SEMAC CONSULT,06-03-2024,2683.25,213
SEMAC CONSULT,05-03-2024,2718.15,146
SEMAC CONSULT,04-03-2024,2811.80,329
SEMAC CONSULT,01-03-2024,2909.75,36
SEMAC CONSULT,29-02-2024,2847.00,81
SEMAC CONSULT,28-02-2024,2885.70,14
SEMAC CONSULT,27-02-2024,2947.05,266
SEMAC CONSULT,26-02-2024,3011.00,19
SEMAC CONSULT,23-02-2024,2981.95,43
SEMAC CONSULT,22-02-2024,2976.05,312
SEMAC CONSULT,21-02-2024,2986.20,297
SEMAC CONSULT,20-02-2024,2995.05,29
SEMAC CONSULT,19-02-2024,2864.70,361
SEMAC CONSULT,16-02-2024,2887.15,145
SEMAC CONSULT,15-02-2024,2979.90,113
SEMAC CONSULT,14-02-2024,2954.60,3885
SEMAC CONSULT,13-02-2024,2886.70,621
SEMAC CONSULT,12-02-2024,2805.80,155
SEMAC CONSULT,09-02-2024,2920.15,576
SEMAC CONSULT,08-02-2024,2988.15,70
SEMAC CONSULT,07-02-2024,3001.25,162
SEMAC CONSULT,06-02-2024,2979.15,142
SEMAC CONSULT,05-02-2024,2923.80,198
SEMAC CONSULT,02-02-2024,2785.70,1640
SEMAC CONSULT,01-02-2024,2640.40,279
SEMAC CONSULT,31-01-2024,2678.50,98
SEMAC CONSULT,30-01-2024,2649.00,771
SEMAC CONSULT,29-01-2024,2533.30,66
SEMAC CONSULT,25-01-2024,2494.70,174
SEMAC CONSULT,24-01-2024,2520.15,34
SEMAC CONSULT,23-01-2024,2552.50,245
SEMAC CONSULT,20-01-2024,2570.00,29
SEMAC CONSULT,19-01-2024,2492.95,95
SEMAC CONSULT,18-01-2024,2513.85,168
SEMAC CONSULT,17-01-2024,2451.30,512
SEMAC CONSULT,16-01-2024,2548.35,833
SEMAC CONSULT,15-01-2024,2676.30,4699
SEMAC CONSULT,12-01-2024,2561.25,3178
SEMAC CONSULT,11-01-2024,2439.85,467
SEMAC CONSULT,10-01-2024,2355.20,34
SEMAC CONSULT,08-01-2024,2300.00,873
SEMAC CONSULT,05-01-2024,2349.95,821
SEMAC CONSULT,04-01-2024,2300.00,164
SEMAC CONSULT,03-01-2024,2254.10,76
SEMAC CONSULT,02-01-2024,2230.00,42
SEMAC CONSULT,01-01-2024,2289.60,47
