Company Name,Date,Close,Volume
Sanghvi Movers,28-03-2024,1353.25,82410
Sanghvi Movers,27-03-2024,1323.50,140838
Sanghvi Movers,26-03-2024,1249.25,165166
Sanghvi Movers,22-03-2024,1152.45,41109
Sanghvi Movers,21-03-2024,1172.90,68902
Sanghvi Movers,20-03-2024,1081.65,34245
Sanghvi Movers,19-03-2024,1024.05,21101
Sanghvi Movers,18-03-2024,1057.30,20793
Sanghvi Movers,15-03-2024,1065.25,33713
Sanghvi Movers,14-03-2024,1073.25,39532
Sanghvi Movers,13-03-2024,1006.35,89483
Sanghvi Movers,12-03-2024,1052.75,10980
Sanghvi Movers,11-03-2024,1031.80,16181
Sanghvi Movers,07-03-2024,1087.45,21019
Sanghvi Movers,06-03-2024,1054.90,27524
Sanghvi Movers,05-03-2024,1036.55,16200
Sanghvi Movers,04-03-2024,1076.30,103642
Sanghvi Movers,02-03-2024,1170.15,9943
Sanghvi Movers,01-03-2024,1196.05,24343
Sanghvi Movers,29-02-2024,1134.10,8124
Sanghvi Movers,28-02-2024,1140.95,35022
Sanghvi Movers,27-02-2024,1150.20,16434
Sanghvi Movers,26-02-2024,1139.10,4944
Sanghvi Movers,23-02-2024,1167.25,6003
Sanghvi Movers,22-02-2024,1169.55,28961
Sanghvi Movers,21-02-2024,1150.75,31419
Sanghvi Movers,20-02-2024,1223.75,43178
Sanghvi Movers,19-02-2024,1147.40,44454
Sanghvi Movers,16-02-2024,1153.30,29352
Sanghvi Movers,15-02-2024,1100.10,42415
Sanghvi Movers,14-02-2024,1101.45,45715
Sanghvi Movers,13-02-2024,1041.80,55585
Sanghvi Movers,12-02-2024,1013.15,50165
Sanghvi Movers,09-02-2024,1017.60,65635
Sanghvi Movers,08-02-2024,1035.95,125930
Sanghvi Movers,07-02-2024,1028.45,253195
Sanghvi Movers,06-02-2024,863.90,40181
Sanghvi Movers,05-02-2024,836.90,31464
Sanghvi Movers,02-02-2024,816.50,19336
Sanghvi Movers,01-02-2024,792.40,16365
Sanghvi Movers,31-01-2024,772.10,5419
Sanghvi Movers,30-01-2024,780.70,3804
Sanghvi Movers,29-01-2024,769.80,6490
Sanghvi Movers,25-01-2024,765.90,12294
Sanghvi Movers,24-01-2024,750.60,5845
Sanghvi Movers,23-01-2024,756.25,4219
Sanghvi Movers,20-01-2024,781.20,3647
Sanghvi Movers,19-01-2024,794.05,13113
Sanghvi Movers,18-01-2024,789.25,10189
Sanghvi Movers,17-01-2024,771.85,23292
Sanghvi Movers,16-01-2024,780.50,21741
Sanghvi Movers,15-01-2024,791.70,27073
Sanghvi Movers,12-01-2024,811.35,21276
Sanghvi Movers,11-01-2024,816.90,9769
Sanghvi Movers,10-01-2024,820.90,15967
Sanghvi Movers,09-01-2024,835.85,2426
Sanghvi Movers,08-01-2024,825.25,14757
Sanghvi Movers,05-01-2024,829.15,8631
Sanghvi Movers,04-01-2024,838.65,25826
Sanghvi Movers,03-01-2024,852.45,14488
Sanghvi Movers,02-01-2024,835.65,18209
Sanghvi Movers,01-01-2024,831.20,13032
