Company Name,Date,Close,Volume
Sejal Glass,28-03-2024,383.90,790
Sejal Glass,27-03-2024,390.00,13530
Sejal Glass,26-03-2024,376.00,2533
Sejal Glass,22-03-2024,368.00,1475
Sejal Glass,21-03-2024,351.75,1710
Sejal Glass,20-03-2024,335.00,112
Sejal Glass,19-03-2024,346.00,2054
Sejal Glass,18-03-2024,342.00,684
Sejal Glass,15-03-2024,348.95,3
Sejal Glass,14-03-2024,341.25,820
Sejal Glass,13-03-2024,342.95,1069
Sejal Glass,12-03-2024,361.00,1200
Sejal Glass,11-03-2024,380.00,784
Sejal Glass,07-03-2024,370.05,893
Sejal Glass,06-03-2024,362.80,2225
Sejal Glass,05-03-2024,381.05,4574
Sejal Glass,04-03-2024,382.80,314
Sejal Glass,02-03-2024,364.60,134
Sejal Glass,01-03-2024,347.25,1452
Sejal Glass,26-02-2024,330.75,640
Sejal Glass,19-02-2024,315.00,1814
Sejal Glass,12-02-2024,309.00,8268
Sejal Glass,05-02-2024,295.10,1811
Sejal Glass,29-01-2024,300.10,8016
Sejal Glass,23-01-2024,302.25,13013
Sejal Glass,15-01-2024,306.75,9740
Sejal Glass,10-01-2024,322.85,7577
Sejal Glass,09-01-2024,307.90,5203
Sejal Glass,08-01-2024,293.25,100
Sejal Glass,05-01-2024,279.30,25
Sejal Glass,04-01-2024,266.00,2101
Sejal Glass,03-01-2024,257.50,46249
Sejal Glass,02-01-2024,247.00,6084
Sejal Glass,01-01-2024,250.00,1136
