Company Name,Date,Close,Volume
Shilpa,28-03-2024,461.35,16275
Shilpa,27-03-2024,453.90,24884
Shilpa,26-03-2024,442.20,34059
Shilpa,22-03-2024,450.30,17454
Shilpa,21-03-2024,456.00,20908
Shilpa,20-03-2024,449.95,51240
Shilpa,19-03-2024,438.75,33530
Shilpa,18-03-2024,459.15,50669
Shilpa,15-03-2024,442.50,49071
Shilpa,14-03-2024,440.40,23820
Shilpa,13-03-2024,405.30,37247
Shilpa,12-03-2024,404.50,35384
Shilpa,11-03-2024,410.35,11894
Shilpa,07-03-2024,421.60,20160
Shilpa,06-03-2024,401.95,64351
Shilpa,05-03-2024,411.30,26342
Shilpa,04-03-2024,426.60,28703
Shilpa,02-03-2024,419.95,7097
Shilpa,01-03-2024,419.70,54340
Shilpa,29-02-2024,417.10,46750
Shilpa,28-02-2024,410.85,62716
Shilpa,27-02-2024,430.95,22516
Shilpa,26-02-2024,431.85,69092
Shilpa,23-02-2024,437.35,44688
Shilpa,22-02-2024,450.25,148651
Shilpa,21-02-2024,442.15,256365
Shilpa,20-02-2024,423.50,195660
Shilpa,19-02-2024,414.60,181871
Shilpa,16-02-2024,379.00,51462
Shilpa,15-02-2024,373.50,11039
Shilpa,14-02-2024,372.10,22702
Shilpa,13-02-2024,366.15,27111
Shilpa,12-02-2024,369.90,62800
Shilpa,09-02-2024,368.40,146621
Shilpa,08-02-2024,383.75,74088
Shilpa,07-02-2024,389.55,67377
Shilpa,06-02-2024,361.35,15395
Shilpa,05-02-2024,370.30,53303
Shilpa,02-02-2024,368.25,48649
Shilpa,01-02-2024,375.75,102320
Shilpa,31-01-2024,367.95,196741
Shilpa,30-01-2024,317.50,8037
Shilpa,29-01-2024,319.90,23104
Shilpa,25-01-2024,331.00,5988
Shilpa,24-01-2024,320.80,7485
Shilpa,23-01-2024,322.65,20395
Shilpa,20-01-2024,332.20,3737
Shilpa,19-01-2024,332.60,30022
Shilpa,18-01-2024,329.70,13640
Shilpa,17-01-2024,329.35,26121
Shilpa,16-01-2024,329.40,22761
Shilpa,15-01-2024,329.75,17966
Shilpa,12-01-2024,329.55,25541
Shilpa,11-01-2024,325.10,25837
Shilpa,10-01-2024,320.45,35194
Shilpa,09-01-2024,319.30,39366
Shilpa,08-01-2024,320.70,28495
Shilpa,05-01-2024,329.10,24911
Shilpa,04-01-2024,332.75,28096
Shilpa,03-01-2024,337.50,70045
Shilpa,02-01-2024,325.00,38159
Shilpa,01-01-2024,320.15,57270
