Company Name,Date,Close,Volume
Sun Pharma,28-03-2024,369.95,5355
Sun Pharma,27-03-2024,368.80,18085
Sun Pharma,26-03-2024,368.15,10844
Sun Pharma,22-03-2024,374.95,5327
Sun Pharma,21-03-2024,363.90,6202
Sun Pharma,20-03-2024,352.45,6207
Sun Pharma,19-03-2024,356.45,12651
Sun Pharma,18-03-2024,361.85,7789
Sun Pharma,15-03-2024,344.65,19134
Sun Pharma,14-03-2024,352.85,17052
Sun Pharma,13-03-2024,356.65,10997
Sun Pharma,12-03-2024,375.40,15492
Sun Pharma,11-03-2024,394.95,45278
Sun Pharma,07-03-2024,388.30,27421
Sun Pharma,06-03-2024,392.00,18685
Sun Pharma,05-03-2024,391.50,15851
Sun Pharma,04-03-2024,378.20,14455
Sun Pharma,02-03-2024,378.80,8663
Sun Pharma,01-03-2024,378.30,65123
Sun Pharma,29-02-2024,365.45,21679
Sun Pharma,28-02-2024,351.55,37252
Sun Pharma,27-02-2024,346.40,4325
Sun Pharma,26-02-2024,349.10,24345
Sun Pharma,23-02-2024,358.25,19510
Sun Pharma,22-02-2024,349.50,12636
Sun Pharma,21-02-2024,360.70,23858
Sun Pharma,20-02-2024,369.85,27878
Sun Pharma,19-02-2024,377.15,24335
Sun Pharma,16-02-2024,359.20,10728
Sun Pharma,15-02-2024,352.05,9772
Sun Pharma,14-02-2024,341.60,50234
Sun Pharma,13-02-2024,354.85,22683
Sun Pharma,12-02-2024,342.45,11788
Sun Pharma,09-02-2024,358.05,9986
Sun Pharma,08-02-2024,356.00,17032
Sun Pharma,07-02-2024,362.60,15281
Sun Pharma,06-02-2024,370.60,39456
Sun Pharma,05-02-2024,353.50,45203
Sun Pharma,02-02-2024,364.20,23892
Sun Pharma,01-02-2024,371.25,13363
Sun Pharma,31-01-2024,379.50,28733
Sun Pharma,30-01-2024,372.20,15315
Sun Pharma,29-01-2024,369.25,76957
Sun Pharma,25-01-2024,372.55,9420
Sun Pharma,24-01-2024,376.10,19949
Sun Pharma,23-01-2024,362.25,26381
Sun Pharma,20-01-2024,383.05,49826
Sun Pharma,19-01-2024,374.80,12615
Sun Pharma,18-01-2024,378.75,50338
Sun Pharma,17-01-2024,373.05,66117
Sun Pharma,16-01-2024,380.60,68241
Sun Pharma,15-01-2024,394.60,139142
Sun Pharma,12-01-2024,384.55,39694
Sun Pharma,11-01-2024,385.45,71170
Sun Pharma,10-01-2024,389.20,63226
Sun Pharma,09-01-2024,399.70,143557
Sun Pharma,08-01-2024,398.05,218176
Sun Pharma,05-01-2024,421.75,698082
Sun Pharma,04-01-2024,385.10,292775
Sun Pharma,03-01-2024,387.40,856080
Sun Pharma,02-01-2024,338.30,917808
Sun Pharma,01-01-2024,307.65,508557
