Company Name,Date,Close,Volume
ABB India,07-12-2023,4742.00,5751
ABB India,06-12-2023,4740.10,16542
ABB India,05-12-2023,4847.75,14097
ABB India,04-12-2023,4622.75,18486
ABB India,01-12-2023,4386.70,7877
ABB India,30-11-2023,4420.70,16172
ABB India,29-11-2023,4244.45,1183
ABB India,28-11-2023,4249.55,4491
ABB India,24-11-2023,4259.75,4319
ABB India,23-11-2023,4261.50,3287
ABB India,22-11-2023,4235.40,4721
ABB India,21-11-2023,4342.25,8281
ABB India,20-11-2023,4345.90,6914
ABB India,17-11-2023,4284.55,5492
ABB India,16-11-2023,4232.90,2681
ABB India,15-11-2023,4257.70,3371
ABB India,13-11-2023,4262.75,7327
ABB India,12-11-2023,4236.70,3641
ABB India,10-11-2023,4239.60,14454
ABB India,09-11-2023,4309.50,13685
ABB India,08-11-2023,4276.25,28095
ABB India,07-11-2023,4210.15,5333
ABB India,06-11-2023,4205.55,2974
ABB India,03-11-2023,4166.00,8409
ABB India,02-11-2023,4077.50,1420
ABB India,01-11-2023,4053.10,19115
ABB India,31-10-2023,4110.65,3774
ABB India,30-10-2023,4068.25,4808
ABB India,27-10-2023,4010.00,3167
ABB India,26-10-2023,3957.95,7941
ABB India,25-10-2023,3930.65,1863
ABB India,23-10-2023,3928.90,6284
ABB India,20-10-2023,4015.70,3140
ABB India,19-10-2023,4087.50,9013
ABB India,18-10-2023,4099.15,12950
ABB India,17-10-2023,4283.00,1969
ABB India,16-10-2023,4280.50,3833
ABB India,13-10-2023,4228.80,2469
ABB India,12-10-2023,4215.35,3611
ABB India,11-10-2023,4187.65,2890
ABB India,10-10-2023,4189.15,2689
ABB India,09-10-2023,4095.15,2732
ABB India,06-10-2023,4132.80,6076
ABB India,05-10-2023,4071.35,4264
ABB India,04-10-2023,3997.05,9438
ABB India,03-10-2023,4093.55,7210
ABB India,29-09-2023,4100.35,7161
ABB India,28-09-2023,4104.70,3435
ABB India,27-09-2023,4232.55,5177
ABB India,26-09-2023,4205.80,2359
ABB India,25-09-2023,4176.25,4337
ABB India,22-09-2023,4186.10,7022
ABB India,21-09-2023,4275.50,6445
ABB India,20-09-2023,4330.55,4932
ABB India,18-09-2023,4318.55,6146
ABB India,15-09-2023,4380.60,5327
ABB India,14-09-2023,4370.25,3044
ABB India,13-09-2023,4336.20,7953
ABB India,12-09-2023,4400.50,15820
ABB India,11-09-2023,4621.90,33981
ABB India,08-09-2023,4459.45,41775
