Company Name,Date,Close,Volume
Albert David,07-12-2023,1028.55,1317
Albert David,06-12-2023,1016.90,1178
Albert David,05-12-2023,1009.20,2399
Albert David,04-12-2023,1023.85,2599
Albert David,01-12-2023,1045.45,3367
Albert David,30-11-2023,1058.90,1608
Albert David,29-11-2023,1060.65,3841
Albert David,28-11-2023,1063.30,4380
Albert David,24-11-2023,1006.25,9802
Albert David,23-11-2023,953.60,1039
Albert David,22-11-2023,923.25,3276
Albert David,21-11-2023,945.15,3880
Albert David,20-11-2023,931.50,3486
Albert David,17-11-2023,910.55,4591
Albert David,16-11-2023,918.50,1777
Albert David,15-11-2023,910.25,17233
Albert David,13-11-2023,868.10,793
Albert David,12-11-2023,852.80,889
Albert David,10-11-2023,841.25,2676
Albert David,09-11-2023,846.40,2493
Albert David,08-11-2023,841.55,1477
Albert David,07-11-2023,846.65,267
Albert David,06-11-2023,853.65,804
Albert David,03-11-2023,821.00,215
Albert David,02-11-2023,825.05,643
Albert David,01-11-2023,820.85,1222
Albert David,31-10-2023,829.80,361
Albert David,30-10-2023,831.30,600
Albert David,27-10-2023,818.00,644
Albert David,26-10-2023,799.15,1962
Albert David,25-10-2023,829.15,1738
Albert David,23-10-2023,840.65,2156
Albert David,20-10-2023,849.95,1472
Albert David,19-10-2023,862.70,3800
Albert David,18-10-2023,838.20,935
Albert David,17-10-2023,845.55,639
Albert David,16-10-2023,847.40,263
Albert David,13-10-2023,838.15,2824
Albert David,12-10-2023,848.80,991
Albert David,11-10-2023,862.40,3263
Albert David,10-10-2023,850.10,1003
Albert David,09-10-2023,822.80,2324
Albert David,06-10-2023,836.95,944
Albert David,05-10-2023,834.30,7383
Albert David,04-10-2023,803.20,6713
Albert David,03-10-2023,781.85,942
Albert David,29-09-2023,776.80,265
Albert David,28-09-2023,770.00,935
Albert David,27-09-2023,784.00,3630
Albert David,26-09-2023,747.45,432
Albert David,25-09-2023,748.20,773
Albert David,22-09-2023,751.10,607
Albert David,21-09-2023,744.05,116
Albert David,20-09-2023,745.55,849
Albert David,18-09-2023,758.45,322
Albert David,15-09-2023,758.25,190
Albert David,14-09-2023,763.05,412
Albert David,13-09-2023,752.20,1527
Albert David,12-09-2023,747.20,1915
Albert David,11-09-2023,779.05,732
Albert David,08-09-2023,782.95,624
