Company Name,Date,Close,Volume
Anand Rathi,07-12-2023,2579.70,1560
Anand Rathi,06-12-2023,2595.40,6826
Anand Rathi,05-12-2023,2626.85,2038
Anand Rathi,04-12-2023,2665.45,6912
Anand Rathi,01-12-2023,2604.20,2226
Anand Rathi,30-11-2023,2589.80,4668
Anand Rathi,29-11-2023,2484.80,3892
Anand Rathi,28-11-2023,2527.70,1943
Anand Rathi,24-11-2023,2509.60,3053
Anand Rathi,23-11-2023,2506.10,4842
Anand Rathi,22-11-2023,2424.20,6929
Anand Rathi,21-11-2023,2281.40,14506
Anand Rathi,20-11-2023,2346.95,10073
Anand Rathi,17-11-2023,2173.30,1720
Anand Rathi,16-11-2023,2106.25,1878
Anand Rathi,15-11-2023,2130.70,3620
Anand Rathi,13-11-2023,2091.15,2196
Anand Rathi,12-11-2023,2105.20,4303
Anand Rathi,10-11-2023,2079.20,7471
Anand Rathi,09-11-2023,2010.45,3807
Anand Rathi,08-11-2023,2014.45,1569
Anand Rathi,07-11-2023,2046.20,1250
Anand Rathi,06-11-2023,2047.70,2255
Anand Rathi,03-11-2023,2022.60,7377
Anand Rathi,02-11-2023,2001.20,5532
Anand Rathi,01-11-2023,2024.30,24693
Anand Rathi,31-10-2023,1911.00,1615
Anand Rathi,30-10-2023,1900.05,3658
Anand Rathi,27-10-2023,1849.70,2140
Anand Rathi,26-10-2023,1821.10,14616
Anand Rathi,25-10-2023,1831.75,4161
Anand Rathi,23-10-2023,1872.05,12841
Anand Rathi,20-10-2023,1892.90,2666
Anand Rathi,19-10-2023,1891.95,9693
Anand Rathi,18-10-2023,1885.15,13277
Anand Rathi,17-10-2023,1790.25,3950
Anand Rathi,16-10-2023,1813.95,4323
Anand Rathi,13-10-2023,1876.65,18853
Anand Rathi,12-10-2023,1909.70,7679
Anand Rathi,11-10-2023,1907.95,3319
Anand Rathi,10-10-2023,1897.50,8616
Anand Rathi,09-10-2023,1889.40,32188
Anand Rathi,06-10-2023,1820.10,11388
Anand Rathi,05-10-2023,1775.70,5197
Anand Rathi,04-10-2023,1775.55,13682
Anand Rathi,03-10-2023,1735.25,15403
Anand Rathi,29-09-2023,1680.65,9254
Anand Rathi,28-09-2023,1691.00,6361
Anand Rathi,27-09-2023,1685.60,7176
Anand Rathi,26-09-2023,1690.90,22506
Anand Rathi,25-09-2023,1631.30,11473
Anand Rathi,22-09-2023,1554.90,6378
Anand Rathi,21-09-2023,1586.45,13670
Anand Rathi,20-09-2023,1522.65,19424
Anand Rathi,18-09-2023,1469.40,5743
Anand Rathi,15-09-2023,1410.50,5850
Anand Rathi,14-09-2023,1406.95,9105
Anand Rathi,13-09-2023,1382.25,2896
Anand Rathi,12-09-2023,1365.50,5230
Anand Rathi,11-09-2023,1370.30,4518
Anand Rathi,08-09-2023,1382.55,8533
