Company Name,Date,Close,Volume
Apollo Tyres,07-12-2023,455.40,135182
Apollo Tyres,06-12-2023,461.85,89713
Apollo Tyres,05-12-2023,458.35,179411
Apollo Tyres,04-12-2023,449.45,119374
Apollo Tyres,01-12-2023,442.30,271590
Apollo Tyres,30-11-2023,427.50,38692
Apollo Tyres,29-11-2023,425.90,88226
Apollo Tyres,28-11-2023,422.75,68418
Apollo Tyres,24-11-2023,414.70,47750
Apollo Tyres,23-11-2023,420.90,37327
Apollo Tyres,22-11-2023,420.90,23617
Apollo Tyres,21-11-2023,424.45,178174
Apollo Tyres,20-11-2023,425.60,94357
Apollo Tyres,17-11-2023,431.00,51002
Apollo Tyres,16-11-2023,427.75,136525
Apollo Tyres,15-11-2023,428.35,151912
Apollo Tyres,13-11-2023,415.35,142919
Apollo Tyres,12-11-2023,419.15,87476
Apollo Tyres,10-11-2023,418.70,74517
Apollo Tyres,09-11-2023,417.65,384409
Apollo Tyres,08-11-2023,410.15,1114576
Apollo Tyres,07-11-2023,385.30,377188
Apollo Tyres,06-11-2023,393.10,229261
Apollo Tyres,03-11-2023,384.20,81165
Apollo Tyres,02-11-2023,387.40,68886
Apollo Tyres,01-11-2023,380.65,80830
Apollo Tyres,31-10-2023,381.60,64236
Apollo Tyres,30-10-2023,374.05,36418
Apollo Tyres,27-10-2023,375.55,83872
Apollo Tyres,26-10-2023,370.15,245269
Apollo Tyres,25-10-2023,374.80,86442
Apollo Tyres,23-10-2023,375.05,110994
Apollo Tyres,20-10-2023,383.55,436085
Apollo Tyres,19-10-2023,385.00,39138
Apollo Tyres,18-10-2023,382.70,192750
Apollo Tyres,17-10-2023,389.95,341976
Apollo Tyres,16-10-2023,380.45,69994
Apollo Tyres,13-10-2023,381.45,31734
Apollo Tyres,12-10-2023,379.25,119571
Apollo Tyres,11-10-2023,378.05,121555
Apollo Tyres,10-10-2023,375.70,48804
Apollo Tyres,09-10-2023,370.90,127869
Apollo Tyres,06-10-2023,380.40,236680
Apollo Tyres,05-10-2023,373.05,280687
Apollo Tyres,04-10-2023,370.35,47840
Apollo Tyres,03-10-2023,371.85,297780
Apollo Tyres,29-09-2023,368.75,106303
Apollo Tyres,28-09-2023,367.20,182131
Apollo Tyres,27-09-2023,376.60,76196
Apollo Tyres,26-09-2023,370.55,80637
Apollo Tyres,25-09-2023,377.40,118633
Apollo Tyres,22-09-2023,371.80,184420
Apollo Tyres,21-09-2023,369.70,369319
Apollo Tyres,20-09-2023,378.90,56368
Apollo Tyres,18-09-2023,372.85,202710
Apollo Tyres,15-09-2023,376.30,119960
Apollo Tyres,14-09-2023,382.25,199476
Apollo Tyres,13-09-2023,385.00,67170
Apollo Tyres,12-09-2023,381.10,73393
Apollo Tyres,11-09-2023,383.50,180124
Apollo Tyres,08-09-2023,381.65,71052
