Company Name,Date,Close,Volume
Ashoka Metcast ,07-12-2023,21.15,12173
Ashoka Metcast ,06-12-2023,20.95,5693
Ashoka Metcast ,05-12-2023,20.49,15469
Ashoka Metcast ,04-12-2023,20.62,11517
Ashoka Metcast ,01-12-2023,20.25,4810
Ashoka Metcast ,30-11-2023,20.23,24307
Ashoka Metcast ,29-11-2023,20.67,1251
Ashoka Metcast ,28-11-2023,20.21,7149
Ashoka Metcast ,24-11-2023,20.90,16636
Ashoka Metcast ,23-11-2023,20.80,18571
Ashoka Metcast ,22-11-2023,20.44,6567
Ashoka Metcast ,21-11-2023,19.58,2232
Ashoka Metcast ,20-11-2023,19.87,25008
Ashoka Metcast ,17-11-2023,20.14,10880
Ashoka Metcast ,16-11-2023,20.45,11576
Ashoka Metcast ,15-11-2023,20.11,15861
Ashoka Metcast ,13-11-2023,20.61,5982
Ashoka Metcast ,12-11-2023,20.94,5113
Ashoka Metcast ,10-11-2023,20.57,39667
Ashoka Metcast ,09-11-2023,20.13,8065
Ashoka Metcast ,08-11-2023,20.84,1644
Ashoka Metcast ,07-11-2023,20.68,3478
Ashoka Metcast ,06-11-2023,21.11,59305
Ashoka Metcast ,03-11-2023,20.71,1532
Ashoka Metcast ,02-11-2023,20.68,2293
Ashoka Metcast ,01-11-2023,20.39,6400
Ashoka Metcast ,31-10-2023,20.48,7142
Ashoka Metcast ,30-10-2023,20.92,10018
Ashoka Metcast ,27-10-2023,20.30,11730
Ashoka Metcast ,26-10-2023,18.80,4330
Ashoka Metcast ,25-10-2023,19.13,6956
Ashoka Metcast ,23-10-2023,21.16,4177
Ashoka Metcast ,20-10-2023,22.16,17160
Ashoka Metcast ,19-10-2023,22.19,7960
Ashoka Metcast ,18-10-2023,21.14,19268
Ashoka Metcast ,17-10-2023,20.60,6761
Ashoka Metcast ,16-10-2023,19.80,1401
Ashoka Metcast ,13-10-2023,19.80,2506
Ashoka Metcast ,12-10-2023,19.40,9005
Ashoka Metcast ,11-10-2023,19.30,4770
Ashoka Metcast ,10-10-2023,19.40,8288
Ashoka Metcast ,09-10-2023,18.57,4921
Ashoka Metcast ,06-10-2023,19.00,4300
Ashoka Metcast ,05-10-2023,19.15,4034
Ashoka Metcast ,04-10-2023,19.19,3806
Ashoka Metcast ,03-10-2023,19.07,1710
Ashoka Metcast ,29-09-2023,18.64,4984
Ashoka Metcast ,28-09-2023,18.50,851
Ashoka Metcast ,27-09-2023,18.43,8550
Ashoka Metcast ,26-09-2023,18.50,1388
Ashoka Metcast ,25-09-2023,18.64,2442
Ashoka Metcast ,22-09-2023,18.32,1073
Ashoka Metcast ,21-09-2023,18.20,1143
Ashoka Metcast ,20-09-2023,18.50,9886
Ashoka Metcast ,18-09-2023,18.12,14646
Ashoka Metcast ,15-09-2023,18.99,2459
Ashoka Metcast ,14-09-2023,18.50,987
Ashoka Metcast ,13-09-2023,18.49,745
Ashoka Metcast ,12-09-2023,18.72,2647
Ashoka Metcast ,11-09-2023,19.70,20822
Ashoka Metcast ,08-09-2023,18.78,9656
