Company Name,Date,Close,Volume
Bajaj Auto,07-12-2023,6092.55,9363
Bajaj Auto,06-12-2023,6070.90,14352
Bajaj Auto,05-12-2023,6139.00,4614
Bajaj Auto,04-12-2023,6199.50,9226
Bajaj Auto,01-12-2023,6046.60,8686
Bajaj Auto,30-11-2023,6089.60,6800
Bajaj Auto,29-11-2023,6065.05,7529
Bajaj Auto,28-11-2023,6002.60,4221
Bajaj Auto,24-11-2023,5929.80,12822
Bajaj Auto,23-11-2023,5921.85,26947
Bajaj Auto,22-11-2023,5755.40,6364
Bajaj Auto,21-11-2023,5685.00,10035
Bajaj Auto,20-11-2023,5651.05,2303
Bajaj Auto,17-11-2023,5629.80,5631
Bajaj Auto,16-11-2023,5550.35,5675
Bajaj Auto,15-11-2023,5536.85,3467
Bajaj Auto,13-11-2023,5422.30,890
Bajaj Auto,12-11-2023,5428.30,425
Bajaj Auto,10-11-2023,5391.60,2731
Bajaj Auto,09-11-2023,5419.75,2967
Bajaj Auto,08-11-2023,5398.20,2173
Bajaj Auto,07-11-2023,5419.30,1445
Bajaj Auto,06-11-2023,5398.90,4621
Bajaj Auto,03-11-2023,5359.15,2840
Bajaj Auto,02-11-2023,5315.55,4085
Bajaj Auto,01-11-2023,5342.30,9221
Bajaj Auto,31-10-2023,5314.35,26214
Bajaj Auto,30-10-2023,5304.05,89917
Bajaj Auto,27-10-2023,5373.70,65519
Bajaj Auto,26-10-2023,5263.75,5207
Bajaj Auto,25-10-2023,5347.15,5804
Bajaj Auto,23-10-2023,5406.90,27836
Bajaj Auto,20-10-2023,5488.10,18322
Bajaj Auto,19-10-2023,5483.90,98936
Bajaj Auto,18-10-2023,5143.80,66774
Bajaj Auto,17-10-2023,5140.60,29258
Bajaj Auto,16-10-2023,5077.75,4789
Bajaj Auto,13-10-2023,5053.05,3710
Bajaj Auto,12-10-2023,5107.85,4920
Bajaj Auto,11-10-2023,5063.45,2388
Bajaj Auto,10-10-2023,5037.20,34069
Bajaj Auto,09-10-2023,5005.30,17304
Bajaj Auto,06-10-2023,5018.25,6768
Bajaj Auto,05-10-2023,5000.60,2978
Bajaj Auto,04-10-2023,4911.35,4234
Bajaj Auto,03-10-2023,5005.70,10289
Bajaj Auto,29-09-2023,5062.45,2916
Bajaj Auto,28-09-2023,5006.30,5477
Bajaj Auto,27-09-2023,5031.60,32062
Bajaj Auto,26-09-2023,5067.90,45821
Bajaj Auto,25-09-2023,5003.90,8367
Bajaj Auto,22-09-2023,5000.05,7290
Bajaj Auto,21-09-2023,5085.25,36852
Bajaj Auto,20-09-2023,5186.65,20177
Bajaj Auto,18-09-2023,5177.15,51151
Bajaj Auto,15-09-2023,5132.10,35646
Bajaj Auto,14-09-2023,4842.15,2845
Bajaj Auto,13-09-2023,4808.05,2180
Bajaj Auto,12-09-2023,4819.35,5388
Bajaj Auto,11-09-2023,4804.80,7081
Bajaj Auto,08-09-2023,4760.00,4576
