Company Name,Date,Close,Volume
Bharat Dynamics,07-12-2023,1301.35,63445
Bharat Dynamics,06-12-2023,1286.60,77744
Bharat Dynamics,05-12-2023,1240.80,34816
Bharat Dynamics,04-12-2023,1233.30,121619
Bharat Dynamics,01-12-2023,1225.10,89549
Bharat Dynamics,30-11-2023,1161.85,53490
Bharat Dynamics,29-11-2023,1155.85,49861
Bharat Dynamics,28-11-2023,1169.05,63258
Bharat Dynamics,24-11-2023,1160.05,55279
Bharat Dynamics,23-11-2023,1105.80,29702
Bharat Dynamics,22-11-2023,1090.90,12356
Bharat Dynamics,21-11-2023,1123.70,49738
Bharat Dynamics,20-11-2023,1146.75,16866
Bharat Dynamics,17-11-2023,1125.25,16737
Bharat Dynamics,16-11-2023,1106.75,61484
Bharat Dynamics,15-11-2023,1090.30,26048
Bharat Dynamics,13-11-2023,1082.30,41880
Bharat Dynamics,12-11-2023,1063.40,8208
Bharat Dynamics,10-11-2023,1051.90,25056
Bharat Dynamics,09-11-2023,1052.10,8614
Bharat Dynamics,08-11-2023,1054.30,10401
Bharat Dynamics,07-11-2023,1045.90,15067
Bharat Dynamics,06-11-2023,1040.10,58113
Bharat Dynamics,03-11-2023,1039.00,46414
Bharat Dynamics,02-11-2023,1000.75,24465
Bharat Dynamics,01-11-2023,985.95,8841
Bharat Dynamics,31-10-2023,973.65,18468
Bharat Dynamics,30-10-2023,963.90,19129
Bharat Dynamics,27-10-2023,965.30,15087
Bharat Dynamics,26-10-2023,957.00,32566
Bharat Dynamics,25-10-2023,934.15,111049
Bharat Dynamics,23-10-2023,970.00,53706
Bharat Dynamics,20-10-2023,1001.80,5314
Bharat Dynamics,19-10-2023,1004.40,15810
Bharat Dynamics,18-10-2023,1011.60,9567
Bharat Dynamics,17-10-2023,1013.60,11750
Bharat Dynamics,16-10-2023,1001.15,42875
Bharat Dynamics,13-10-2023,1001.45,24100
Bharat Dynamics,12-10-2023,1007.25,19662
Bharat Dynamics,11-10-2023,1032.35,12439
Bharat Dynamics,10-10-2023,1030.15,56316
Bharat Dynamics,09-10-2023,1004.35,24784
Bharat Dynamics,06-10-2023,995.35,11748
Bharat Dynamics,05-10-2023,1001.35,81414
Bharat Dynamics,04-10-2023,983.10,66535
Bharat Dynamics,03-10-2023,1021.15,18156
Bharat Dynamics,29-09-2023,1031.85,16160
Bharat Dynamics,28-09-2023,1004.90,8852
Bharat Dynamics,27-09-2023,1024.35,11631
Bharat Dynamics,26-09-2023,1034.35,27523
Bharat Dynamics,25-09-2023,991.05,131022
Bharat Dynamics,22-09-2023,1004.60,63414
Bharat Dynamics,21-09-2023,1026.80,41132
Bharat Dynamics,20-09-2023,1042.00,102873
Bharat Dynamics,18-09-2023,1055.80,40112
Bharat Dynamics,15-09-2023,1064.05,9974
Bharat Dynamics,14-09-2023,1064.35,20948
Bharat Dynamics,13-09-2023,1065.25,77579
Bharat Dynamics,12-09-2023,1077.75,109408
Bharat Dynamics,11-09-2023,1173.85,94440
Bharat Dynamics,08-09-2023,1193.10,131607
