Company Name,Date,Close,Volume
Bharat Elec,07-12-2023,160.30,2922351
Bharat Elec,06-12-2023,156.20,1150027
Bharat Elec,05-12-2023,151.95,2039458
Bharat Elec,04-12-2023,153.55,2060618
Bharat Elec,01-12-2023,147.45,1582356
Bharat Elec,30-11-2023,145.85,1702503
Bharat Elec,29-11-2023,141.00,553097
Bharat Elec,28-11-2023,141.35,481795
Bharat Elec,24-11-2023,140.45,774849
Bharat Elec,23-11-2023,139.45,437740
Bharat Elec,22-11-2023,141.85,416240
Bharat Elec,21-11-2023,142.90,485996
Bharat Elec,20-11-2023,143.90,557404
Bharat Elec,17-11-2023,146.10,421667
Bharat Elec,16-11-2023,142.55,252237
Bharat Elec,15-11-2023,143.00,788142
Bharat Elec,13-11-2023,143.45,668579
Bharat Elec,12-11-2023,139.55,203375
Bharat Elec,10-11-2023,138.80,349422
Bharat Elec,09-11-2023,138.00,1438479
Bharat Elec,08-11-2023,140.30,314726
Bharat Elec,07-11-2023,137.95,188325
Bharat Elec,06-11-2023,137.60,243063
Bharat Elec,03-11-2023,135.90,437235
Bharat Elec,02-11-2023,134.80,150803
Bharat Elec,01-11-2023,132.40,511886
Bharat Elec,31-10-2023,133.30,406500
Bharat Elec,30-10-2023,131.95,512319
Bharat Elec,27-10-2023,132.25,501095
Bharat Elec,26-10-2023,129.05,2151245
Bharat Elec,25-10-2023,131.20,319643
Bharat Elec,23-10-2023,132.50,390575
Bharat Elec,20-10-2023,134.15,351553
Bharat Elec,19-10-2023,136.95,397422
Bharat Elec,18-10-2023,137.10,214455
Bharat Elec,17-10-2023,138.50,191780
Bharat Elec,16-10-2023,137.35,317930
Bharat Elec,13-10-2023,137.30,477442
Bharat Elec,12-10-2023,138.10,390091
Bharat Elec,11-10-2023,137.80,300892
Bharat Elec,10-10-2023,139.85,600216
Bharat Elec,09-10-2023,135.70,291430
Bharat Elec,06-10-2023,138.95,383013
Bharat Elec,05-10-2023,138.95,388353
Bharat Elec,04-10-2023,138.75,501956
Bharat Elec,03-10-2023,139.15,397319
Bharat Elec,29-09-2023,138.25,703851
Bharat Elec,28-09-2023,135.25,494908
Bharat Elec,27-09-2023,136.55,526130
Bharat Elec,26-09-2023,137.65,388910
Bharat Elec,25-09-2023,136.55,706304
Bharat Elec,22-09-2023,136.05,367816
Bharat Elec,21-09-2023,135.20,749707
Bharat Elec,20-09-2023,136.95,1071522
Bharat Elec,18-09-2023,139.90,3254365
Bharat Elec,15-09-2023,135.70,323121
Bharat Elec,14-09-2023,136.75,846147
Bharat Elec,13-09-2023,135.85,982259
Bharat Elec,12-09-2023,133.85,6119265
Bharat Elec,11-09-2023,144.75,983630
Bharat Elec,08-09-2023,143.25,1519676
