Company Name,Date,Close,Volume
Bharti Airtel,07-12-2023,998.75,16855451
Bharti Airtel,06-12-2023,1023.95,124239
Bharti Airtel,05-12-2023,1030.65,25920
Bharti Airtel,04-12-2023,1032.40,57046
Bharti Airtel,01-12-2023,1015.00,403513
Bharti Airtel,30-11-2023,1014.55,300407
Bharti Airtel,29-11-2023,995.50,315851
Bharti Airtel,28-11-2023,985.55,37059
Bharti Airtel,24-11-2023,972.75,202156
Bharti Airtel,23-11-2023,977.30,291611
Bharti Airtel,22-11-2023,969.30,37917
Bharti Airtel,21-11-2023,971.40,96309
Bharti Airtel,20-11-2023,961.60,878076
Bharti Airtel,17-11-2023,947.60,157298
Bharti Airtel,16-11-2023,948.65,2472968
Bharti Airtel,15-11-2023,949.80,65209
Bharti Airtel,13-11-2023,935.15,23813
Bharti Airtel,12-11-2023,938.15,4336
Bharti Airtel,10-11-2023,935.45,182637
Bharti Airtel,09-11-2023,932.30,16325
Bharti Airtel,08-11-2023,936.90,15817
Bharti Airtel,07-11-2023,937.00,32647
Bharti Airtel,06-11-2023,939.10,46152
Bharti Airtel,03-11-2023,930.70,397470
Bharti Airtel,02-11-2023,924.15,37554
Bharti Airtel,01-11-2023,913.60,48824
Bharti Airtel,31-10-2023,914.20,291293
Bharti Airtel,30-10-2023,925.90,188488
Bharti Airtel,27-10-2023,914.55,67834
Bharti Airtel,26-10-2023,905.00,540437
Bharti Airtel,25-10-2023,922.55,479235
Bharti Airtel,23-10-2023,939.75,54941
Bharti Airtel,20-10-2023,945.10,305861
Bharti Airtel,19-10-2023,942.70,593207
Bharti Airtel,18-10-2023,952.80,122404
Bharti Airtel,17-10-2023,954.10,303656
Bharti Airtel,16-10-2023,945.55,42497
Bharti Airtel,13-10-2023,954.25,512845
Bharti Airtel,12-10-2023,950.85,374967
Bharti Airtel,11-10-2023,955.45,1386019
Bharti Airtel,10-10-2023,948.70,109590
Bharti Airtel,09-10-2023,924.85,50338
Bharti Airtel,06-10-2023,926.05,344042
Bharti Airtel,05-10-2023,928.70,49979
Bharti Airtel,04-10-2023,924.70,86479
Bharti Airtel,03-10-2023,924.95,49364
Bharti Airtel,29-09-2023,926.40,84725
Bharti Airtel,28-09-2023,925.05,43067
Bharti Airtel,27-09-2023,919.60,111817
Bharti Airtel,26-09-2023,912.15,160917
Bharti Airtel,25-09-2023,910.00,26310
Bharti Airtel,22-09-2023,911.20,61487
Bharti Airtel,21-09-2023,918.10,48080
Bharti Airtel,20-09-2023,911.00,62859
Bharti Airtel,18-09-2023,920.40,73594
Bharti Airtel,15-09-2023,936.45,115612
Bharti Airtel,14-09-2023,914.75,54859
Bharti Airtel,13-09-2023,914.90,180451
Bharti Airtel,12-09-2023,890.65,73062
Bharti Airtel,11-09-2023,889.65,30906
Bharti Airtel,08-09-2023,885.75,242457
