Company Name,Date,Close,Volume
Bombay Burmah,07-12-2023,1382.95,2638
Bombay Burmah,06-12-2023,1376.90,14842
Bombay Burmah,05-12-2023,1397.95,3792
Bombay Burmah,04-12-2023,1415.05,5854
Bombay Burmah,01-12-2023,1412.35,16043
Bombay Burmah,30-11-2023,1361.80,6857
Bombay Burmah,29-11-2023,1394.60,8213
Bombay Burmah,28-11-2023,1406.00,6804
Bombay Burmah,24-11-2023,1442.40,5909
Bombay Burmah,23-11-2023,1434.00,4938
Bombay Burmah,22-11-2023,1453.30,5784
Bombay Burmah,21-11-2023,1466.75,5719
Bombay Burmah,20-11-2023,1480.00,19813
Bombay Burmah,17-11-2023,1488.15,13065
Bombay Burmah,16-11-2023,1489.50,13416
Bombay Burmah,15-11-2023,1435.75,12643
Bombay Burmah,13-11-2023,1454.90,17881
Bombay Burmah,12-11-2023,1480.45,6592
Bombay Burmah,10-11-2023,1460.65,17475
Bombay Burmah,09-11-2023,1427.70,6684
Bombay Burmah,08-11-2023,1446.35,5411
Bombay Burmah,07-11-2023,1456.50,62659
Bombay Burmah,06-11-2023,1410.25,10018
Bombay Burmah,03-11-2023,1413.80,3015
Bombay Burmah,02-11-2023,1427.15,5534
Bombay Burmah,01-11-2023,1412.35,62165
Bombay Burmah,31-10-2023,1351.70,8006
Bombay Burmah,30-10-2023,1419.80,6490
Bombay Burmah,27-10-2023,1458.30,25188
Bombay Burmah,26-10-2023,1420.30,16170
Bombay Burmah,25-10-2023,1408.60,27680
Bombay Burmah,23-10-2023,1421.30,109896
Bombay Burmah,20-10-2023,1420.50,211970
Bombay Burmah,19-10-2023,1183.75,5143
Bombay Burmah,18-10-2023,1174.85,2617
Bombay Burmah,17-10-2023,1193.55,2540
Bombay Burmah,16-10-2023,1185.05,5281
Bombay Burmah,13-10-2023,1187.40,5997
Bombay Burmah,12-10-2023,1230.15,2584
Bombay Burmah,11-10-2023,1244.35,4457
Bombay Burmah,10-10-2023,1243.40,2341
Bombay Burmah,09-10-2023,1246.20,2234
Bombay Burmah,06-10-2023,1241.95,6392
Bombay Burmah,05-10-2023,1235.85,2536
Bombay Burmah,04-10-2023,1238.20,2017
Bombay Burmah,03-10-2023,1236.60,3611
Bombay Burmah,29-09-2023,1259.70,18109
Bombay Burmah,28-09-2023,1230.65,15755
Bombay Burmah,27-09-2023,1230.20,6775
Bombay Burmah,26-09-2023,1204.75,4097
Bombay Burmah,25-09-2023,1200.60,2463
Bombay Burmah,22-09-2023,1201.45,3395
Bombay Burmah,21-09-2023,1201.10,3771
Bombay Burmah,20-09-2023,1174.10,2755
Bombay Burmah,18-09-2023,1176.80,7670
Bombay Burmah,15-09-2023,1215.20,13038
Bombay Burmah,14-09-2023,1267.95,56171
Bombay Burmah,13-09-2023,1204.40,4236
Bombay Burmah,12-09-2023,1168.90,8568
Bombay Burmah,11-09-2023,1242.70,14558
Bombay Burmah,08-09-2023,1276.40,92209
