Company Name,Date,Close,Volume
CG Power ,07-12-2023,456.10,51911
CG Power ,06-12-2023,453.65,84203
CG Power ,05-12-2023,473.20,92969
CG Power ,04-12-2023,469.35,125021
CG Power ,01-12-2023,455.70,229111
CG Power ,30-11-2023,450.10,92337
CG Power ,29-11-2023,439.15,317767
CG Power ,28-11-2023,431.50,302815
CG Power ,24-11-2023,429.05,325595
CG Power ,23-11-2023,459.20,1004972
CG Power ,22-11-2023,469.00,750967
CG Power ,21-11-2023,390.85,76230
CG Power ,20-11-2023,394.25,63326
CG Power ,17-11-2023,389.40,109818
CG Power ,16-11-2023,398.30,119335
CG Power ,15-11-2023,394.45,117769
CG Power ,13-11-2023,382.65,71102
CG Power ,12-11-2023,387.70,20418
CG Power ,10-11-2023,388.45,25582
CG Power ,09-11-2023,383.35,15555
CG Power ,08-11-2023,382.55,75761
CG Power ,07-11-2023,388.35,26700
CG Power ,06-11-2023,376.35,173058
CG Power ,03-11-2023,380.30,36916
CG Power ,02-11-2023,383.35,14338
CG Power ,01-11-2023,381.85,24416
CG Power ,31-10-2023,389.90,59133
CG Power ,30-10-2023,391.30,86284
CG Power ,27-10-2023,384.45,70843
CG Power ,26-10-2023,371.90,139414
CG Power ,25-10-2023,372.45,62002
CG Power ,23-10-2023,383.90,81805
CG Power ,20-10-2023,393.85,178302
CG Power ,19-10-2023,380.30,213249
CG Power ,18-10-2023,387.35,84891
CG Power ,17-10-2023,392.50,50782
CG Power ,16-10-2023,392.95,95446
CG Power ,13-10-2023,396.70,46176
CG Power ,12-10-2023,399.60,93292
CG Power ,11-10-2023,404.35,99871
CG Power ,10-10-2023,411.65,72383
CG Power ,09-10-2023,413.60,75591
CG Power ,06-10-2023,418.45,62766
CG Power ,05-10-2023,425.60,60739
CG Power ,04-10-2023,431.90,62513
CG Power ,03-10-2023,444.60,92359
CG Power ,29-09-2023,442.25,63091
CG Power ,28-09-2023,437.40,42089
CG Power ,27-09-2023,438.00,42648
CG Power ,26-09-2023,438.50,38794
CG Power ,25-09-2023,433.85,33540
CG Power ,22-09-2023,440.35,86182
CG Power ,21-09-2023,429.75,30484
CG Power ,20-09-2023,431.55,24949
CG Power ,18-09-2023,439.05,60954
CG Power ,15-09-2023,436.70,65830
CG Power ,14-09-2023,444.80,38016
CG Power ,13-09-2023,441.95,101510
CG Power ,12-09-2023,440.20,68378
CG Power ,11-09-2023,450.40,130515
CG Power ,08-09-2023,454.95,99935
