Company Name,Date,Close,Volume
Chalet Hotels,07-12-2023,591.30,4568
Chalet Hotels,06-12-2023,589.15,20913
Chalet Hotels,05-12-2023,569.40,8300
Chalet Hotels,04-12-2023,578.30,7565
Chalet Hotels,01-12-2023,583.95,10925
Chalet Hotels,30-11-2023,589.75,4365
Chalet Hotels,29-11-2023,586.45,5285
Chalet Hotels,28-11-2023,589.05,2226
Chalet Hotels,24-11-2023,587.85,895
Chalet Hotels,23-11-2023,584.00,4446
Chalet Hotels,22-11-2023,582.35,6492
Chalet Hotels,21-11-2023,597.35,9837
Chalet Hotels,20-11-2023,602.20,8235
Chalet Hotels,17-11-2023,587.25,5404
Chalet Hotels,16-11-2023,602.15,11264
Chalet Hotels,15-11-2023,597.30,1917
Chalet Hotels,13-11-2023,592.85,6630
Chalet Hotels,12-11-2023,587.10,1074
Chalet Hotels,10-11-2023,583.55,1367
Chalet Hotels,09-11-2023,587.10,7275
Chalet Hotels,08-11-2023,581.55,7119
Chalet Hotels,07-11-2023,577.10,7802
Chalet Hotels,06-11-2023,582.30,3028
Chalet Hotels,03-11-2023,580.80,12365
Chalet Hotels,02-11-2023,571.25,13773
Chalet Hotels,01-11-2023,558.60,9243
Chalet Hotels,31-10-2023,550.85,3318
Chalet Hotels,30-10-2023,550.25,3274
Chalet Hotels,27-10-2023,561.70,7488
Chalet Hotels,26-10-2023,557.70,31153
Chalet Hotels,25-10-2023,559.80,6189
Chalet Hotels,23-10-2023,561.65,3621
Chalet Hotels,20-10-2023,581.75,2285
Chalet Hotels,19-10-2023,580.95,6339
Chalet Hotels,18-10-2023,588.25,2908
Chalet Hotels,17-10-2023,596.90,8000
Chalet Hotels,16-10-2023,593.30,2493
Chalet Hotels,13-10-2023,594.90,5909
Chalet Hotels,12-10-2023,608.55,2810
Chalet Hotels,11-10-2023,605.45,6250
Chalet Hotels,10-10-2023,599.15,2255
Chalet Hotels,09-10-2023,588.60,12085
Chalet Hotels,06-10-2023,608.35,30238
Chalet Hotels,05-10-2023,594.00,25757
Chalet Hotels,04-10-2023,579.85,15325
Chalet Hotels,03-10-2023,567.10,24276
Chalet Hotels,29-09-2023,556.75,6642
Chalet Hotels,28-09-2023,550.90,9162
Chalet Hotels,27-09-2023,548.25,5612
Chalet Hotels,26-09-2023,557.60,8222
Chalet Hotels,25-09-2023,546.90,1633
Chalet Hotels,22-09-2023,548.80,2513
Chalet Hotels,21-09-2023,540.15,3787
Chalet Hotels,20-09-2023,549.30,373861
Chalet Hotels,18-09-2023,558.80,6268
Chalet Hotels,15-09-2023,560.15,2468
Chalet Hotels,14-09-2023,563.95,1642
Chalet Hotels,13-09-2023,559.30,5066
Chalet Hotels,12-09-2023,566.55,24810
Chalet Hotels,11-09-2023,575.70,11837
Chalet Hotels,08-09-2023,565.70,32525
