Company Name,Date,Close,Volume
Cyient DLM,07-12-2023,641.45,16255
Cyient DLM,06-12-2023,646.85,8076
Cyient DLM,05-12-2023,658.10,15315
Cyient DLM,04-12-2023,658.35,9915
Cyient DLM,01-12-2023,649.40,4116
Cyient DLM,30-11-2023,648.25,6634
Cyient DLM,29-11-2023,635.15,15506
Cyient DLM,28-11-2023,638.25,6880
Cyient DLM,24-11-2023,643.15,7010
Cyient DLM,23-11-2023,648.10,7693
Cyient DLM,22-11-2023,644.70,14518
Cyient DLM,21-11-2023,659.80,9834
Cyient DLM,20-11-2023,668.30,6508
Cyient DLM,17-11-2023,666.70,9057
Cyient DLM,16-11-2023,671.95,6957
Cyient DLM,15-11-2023,666.20,56100
Cyient DLM,13-11-2023,637.55,5164
Cyient DLM,12-11-2023,646.05,9089
Cyient DLM,10-11-2023,633.85,4672
Cyient DLM,09-11-2023,640.50,21536
Cyient DLM,08-11-2023,633.15,14768
Cyient DLM,07-11-2023,635.35,12157
Cyient DLM,06-11-2023,637.05,14516
Cyient DLM,03-11-2023,637.45,15467
Cyient DLM,02-11-2023,641.75,6650
Cyient DLM,01-11-2023,634.10,13115
Cyient DLM,31-10-2023,639.60,5336
Cyient DLM,30-10-2023,640.00,8387
Cyient DLM,27-10-2023,648.70,13794
Cyient DLM,26-10-2023,642.25,47692
Cyient DLM,25-10-2023,634.25,32590
Cyient DLM,23-10-2023,661.95,65939
Cyient DLM,20-10-2023,696.95,37997
Cyient DLM,19-10-2023,702.00,19709
Cyient DLM,18-10-2023,712.70,70268
Cyient DLM,17-10-2023,708.60,68320
Cyient DLM,16-10-2023,688.60,26653
Cyient DLM,13-10-2023,686.75,12406
Cyient DLM,12-10-2023,691.40,17224
Cyient DLM,11-10-2023,672.55,39263
Cyient DLM,10-10-2023,666.15,12932
Cyient DLM,09-10-2023,668.45,35681
Cyient DLM,06-10-2023,668.40,18605
Cyient DLM,05-10-2023,670.10,23835
Cyient DLM,04-10-2023,656.40,40959
Cyient DLM,03-10-2023,684.85,45067
Cyient DLM,29-09-2023,720.60,30301
Cyient DLM,28-09-2023,704.30,98793
Cyient DLM,27-09-2023,699.10,59909
Cyient DLM,26-09-2023,678.05,10169
Cyient DLM,25-09-2023,673.70,13178
Cyient DLM,22-09-2023,667.60,13633
Cyient DLM,21-09-2023,672.60,23530
Cyient DLM,20-09-2023,655.55,5398
Cyient DLM,18-09-2023,666.00,8204
Cyient DLM,15-09-2023,677.95,8112
Cyient DLM,14-09-2023,680.60,15318
Cyient DLM,13-09-2023,675.60,17006
Cyient DLM,12-09-2023,672.00,47590
Cyient DLM,11-09-2023,707.85,21733
Cyient DLM,08-09-2023,700.30,33317
