Company Name,Date,Close,Volume
D P Wires,07-12-2023,624.25,1852
D P Wires,06-12-2023,619.70,1682
D P Wires,05-12-2023,638.25,9765
D P Wires,04-12-2023,637.50,5051
D P Wires,01-12-2023,634.80,7753
D P Wires,30-11-2023,615.20,3960
D P Wires,29-11-2023,612.00,5946
D P Wires,28-11-2023,628.50,2817
D P Wires,24-11-2023,638.65,18002
D P Wires,23-11-2023,604.10,4151
D P Wires,22-11-2023,601.25,3180
D P Wires,21-11-2023,618.15,10845
D P Wires,20-11-2023,616.40,16856
D P Wires,17-11-2023,634.15,15362
D P Wires,16-11-2023,614.35,18358
D P Wires,15-11-2023,599.70,6901
D P Wires,13-11-2023,595.60,12673
D P Wires,12-11-2023,605.10,721
D P Wires,10-11-2023,598.50,6739
D P Wires,09-11-2023,616.60,6289
D P Wires,08-11-2023,634.90,15391
D P Wires,07-11-2023,576.28,6459
D P Wires,06-11-2023,570.37,6283
D P Wires,03-11-2023,581.35,9086
D P Wires,02-11-2023,581.31,1239
D P Wires,01-11-2023,572.08,8373
D P Wires,31-10-2023,572.91,19072
D P Wires,30-10-2023,573.39,22309
D P Wires,27-10-2023,559.91,4425
D P Wires,26-10-2023,519.31,9736
D P Wires,25-10-2023,527.63,6479
D P Wires,23-10-2023,522.51,8902
D P Wires,20-10-2023,546.04,4269
D P Wires,19-10-2023,555.80,4179
D P Wires,18-10-2023,563.94,3205
D P Wires,17-10-2023,561.93,3931
D P Wires,16-10-2023,563.15,5126
D P Wires,13-10-2023,562.89,10041
D P Wires,12-10-2023,566.43,11883
D P Wires,11-10-2023,582.75,7178
D P Wires,10-10-2023,589.75,2954
D P Wires,09-10-2023,581.04,3258
D P Wires,06-10-2023,576.32,2198
D P Wires,05-10-2023,572.78,6771
D P Wires,04-10-2023,584.41,7640
D P Wires,03-10-2023,591.76,16614
D P Wires,29-09-2023,621.34,18523
D P Wires,28-09-2023,612.68,6128
D P Wires,27-09-2023,595.44,38917
D P Wires,26-09-2023,565.64,678
D P Wires,25-09-2023,557.68,1675
D P Wires,22-09-2023,558.91,2730
D P Wires,21-09-2023,555.36,5010
D P Wires,20-09-2023,561.71,3137
D P Wires,18-09-2023,566.08,2035
D P Wires,15-09-2023,572.86,950
D P Wires,14-09-2023,575.01,1746
D P Wires,13-09-2023,548.36,4422
D P Wires,12-09-2023,545.74,10761
D P Wires,11-09-2023,566.91,4504
D P Wires,08-09-2023,572.29,1366
