Company Name,Date,Close,Volume
DB Corp,07-12-2023,266.05,14463
DB Corp,06-12-2023,267.25,34559
DB Corp,05-12-2023,264.55,40864
DB Corp,04-12-2023,258.90,21600
DB Corp,01-12-2023,264.55,61062
DB Corp,30-11-2023,271.95,12307
DB Corp,29-11-2023,286.10,8614
DB Corp,28-11-2023,291.25,11309
DB Corp,24-11-2023,287.50,12651
DB Corp,23-11-2023,294.35,8438
DB Corp,22-11-2023,292.20,10104
DB Corp,21-11-2023,295.35,5011
DB Corp,20-11-2023,295.75,19827
DB Corp,17-11-2023,297.15,11196
DB Corp,16-11-2023,300.75,12239
DB Corp,15-11-2023,294.95,36486
DB Corp,13-11-2023,293.95,3731
DB Corp,12-11-2023,296.95,2448
DB Corp,10-11-2023,298.30,3908
DB Corp,09-11-2023,294.60,4128
DB Corp,08-11-2023,299.85,34244
DB Corp,07-11-2023,304.65,6796
DB Corp,06-11-2023,307.60,33582
DB Corp,03-11-2023,305.20,19219
DB Corp,02-11-2023,296.70,18485
DB Corp,01-11-2023,293.70,29513
DB Corp,31-10-2023,300.80,18905
DB Corp,30-10-2023,301.15,11846
DB Corp,27-10-2023,301.95,25763
DB Corp,26-10-2023,302.40,71190
DB Corp,25-10-2023,292.30,20981
DB Corp,23-10-2023,301.25,40365
DB Corp,20-10-2023,319.45,34786
DB Corp,19-10-2023,312.95,24030
DB Corp,18-10-2023,302.85,26764
DB Corp,17-10-2023,294.50,9595
DB Corp,16-10-2023,294.35,26902
DB Corp,13-10-2023,292.85,64620
DB Corp,12-10-2023,279.30,44651
DB Corp,11-10-2023,265.80,19486
DB Corp,10-10-2023,267.50,37799
DB Corp,09-10-2023,257.25,8990
DB Corp,06-10-2023,262.60,10707
DB Corp,05-10-2023,266.05,24155
DB Corp,04-10-2023,264.80,60284
DB Corp,03-10-2023,273.75,64677
DB Corp,29-09-2023,255.95,49966
DB Corp,28-09-2023,243.70,27714
DB Corp,27-09-2023,235.90,3708
DB Corp,26-09-2023,236.90,13339
DB Corp,25-09-2023,233.30,27398
DB Corp,22-09-2023,241.45,29110
DB Corp,21-09-2023,235.10,17622
DB Corp,20-09-2023,239.05,41224
DB Corp,18-09-2023,250.25,71497
DB Corp,15-09-2023,238.30,105544
DB Corp,14-09-2023,224.40,19538
DB Corp,13-09-2023,226.65,12840
DB Corp,12-09-2023,214.60,19880
DB Corp,11-09-2023,218.95,43136
DB Corp,08-09-2023,222.25,20386
