Company Name,Date,Close,Volume
DIC India,07-12-2023,511.90,1521
DIC India,06-12-2023,502.45,5337
DIC India,05-12-2023,460.50,1153
DIC India,04-12-2023,441.10,157
DIC India,01-12-2023,432.70,235
DIC India,30-11-2023,428.20,41
DIC India,29-11-2023,430.40,157
DIC India,28-11-2023,434.50,115
DIC India,24-11-2023,429.15,260
DIC India,23-11-2023,427.65,332
DIC India,22-11-2023,429.70,113
DIC India,21-11-2023,422.00,196
DIC India,20-11-2023,420.05,211
DIC India,17-11-2023,422.70,94
DIC India,16-11-2023,430.70,664
DIC India,15-11-2023,434.15,142
DIC India,13-11-2023,428.80,130
DIC India,12-11-2023,421.05,537
DIC India,10-11-2023,435.40,503
DIC India,09-11-2023,427.35,122
DIC India,08-11-2023,422.45,455
DIC India,07-11-2023,428.40,266
DIC India,06-11-2023,440.00,47
DIC India,03-11-2023,417.40,62
DIC India,02-11-2023,414.75,222
DIC India,01-11-2023,422.15,25
DIC India,31-10-2023,429.55,184
DIC India,30-10-2023,422.10,144
DIC India,27-10-2023,422.05,603
DIC India,26-10-2023,419.05,755
DIC India,25-10-2023,443.05,662
DIC India,23-10-2023,444.00,1249
DIC India,20-10-2023,449.15,276
DIC India,19-10-2023,445.15,2228
DIC India,18-10-2023,450.90,1006
DIC India,17-10-2023,453.40,400
DIC India,16-10-2023,428.00,232
DIC India,13-10-2023,432.45,383
DIC India,12-10-2023,430.90,205
DIC India,11-10-2023,429.40,309
DIC India,10-10-2023,433.20,43
DIC India,09-10-2023,424.80,53
DIC India,06-10-2023,433.95,392
DIC India,05-10-2023,439.00,399
DIC India,04-10-2023,438.80,1
DIC India,03-10-2023,436.55,377
DIC India,29-09-2023,444.00,629
DIC India,28-09-2023,438.50,303
DIC India,27-09-2023,442.30,377
DIC India,26-09-2023,438.15,85
DIC India,25-09-2023,436.10,106
DIC India,21-09-2023,441.35,3
DIC India,20-09-2023,445.25,211
DIC India,18-09-2023,444.00,27
DIC India,15-09-2023,437.60,583
DIC India,14-09-2023,440.65,246
DIC India,13-09-2023,438.30,25
DIC India,12-09-2023,430.10,2572
DIC India,11-09-2023,463.90,90
DIC India,08-09-2023,463.25,49
