Company Name,Date,Close,Volume
De Nora India,07-12-2023,1654.60,1233
De Nora India,06-12-2023,1667.65,1981
De Nora India,05-12-2023,1633.05,6700
De Nora India,04-12-2023,1680.10,1483
De Nora India,01-12-2023,1673.30,1874
De Nora India,30-11-2023,1666.55,3366
De Nora India,29-11-2023,1684.80,3034
De Nora India,28-11-2023,1668.85,1407
De Nora India,24-11-2023,1698.40,1072
De Nora India,23-11-2023,1699.90,957
De Nora India,22-11-2023,1707.90,2523
De Nora India,21-11-2023,1732.95,3697
De Nora India,20-11-2023,1786.15,2336
De Nora India,17-11-2023,1740.60,1561
De Nora India,16-11-2023,1720.45,1978
De Nora India,15-11-2023,1773.40,468
De Nora India,13-11-2023,1768.10,4258
De Nora India,12-11-2023,1799.90,1377
De Nora India,10-11-2023,1785.05,1078
De Nora India,09-11-2023,1785.95,8978
De Nora India,08-11-2023,1664.50,2358
De Nora India,07-11-2023,1687.80,1870
De Nora India,06-11-2023,1689.70,3315
De Nora India,03-11-2023,1703.75,5424
De Nora India,02-11-2023,1703.30,3165
De Nora India,01-11-2023,1704.90,5932
De Nora India,31-10-2023,1762.55,19234
De Nora India,30-10-2023,1545.10,668
De Nora India,27-10-2023,1515.05,606
De Nora India,26-10-2023,1463.50,1317
De Nora India,25-10-2023,1499.40,1254
De Nora India,23-10-2023,1504.35,3734
De Nora India,20-10-2023,1629.90,5524
De Nora India,19-10-2023,1648.90,8545
De Nora India,18-10-2023,1526.85,3392
De Nora India,17-10-2023,1459.20,1404
De Nora India,16-10-2023,1467.15,1530
De Nora India,13-10-2023,1481.95,1476
De Nora India,12-10-2023,1488.05,1154
De Nora India,11-10-2023,1487.50,287
De Nora India,10-10-2023,1486.35,660
De Nora India,09-10-2023,1484.00,1723
De Nora India,06-10-2023,1535.90,1756
De Nora India,05-10-2023,1559.75,396
De Nora India,04-10-2023,1552.50,480
De Nora India,03-10-2023,1573.50,1010
De Nora India,29-09-2023,1510.30,1230
De Nora India,28-09-2023,1501.55,991
De Nora India,27-09-2023,1507.70,1332
De Nora India,26-09-2023,1548.00,857
De Nora India,25-09-2023,1588.60,1004
De Nora India,22-09-2023,1597.90,420
De Nora India,21-09-2023,1596.35,996
De Nora India,20-09-2023,1623.85,730
De Nora India,18-09-2023,1641.85,284
De Nora India,15-09-2023,1636.35,590
De Nora India,14-09-2023,1647.05,765
De Nora India,13-09-2023,1611.45,2757
De Nora India,12-09-2023,1643.15,4259
De Nora India,11-09-2023,1748.40,948
De Nora India,08-09-2023,1736.95,4343
