Company Name,Date,Close,Volume
Dodla Dairy,07-12-2023,832.35,10529
Dodla Dairy,06-12-2023,825.40,12448
Dodla Dairy,05-12-2023,824.30,21857
Dodla Dairy,04-12-2023,799.00,3690
Dodla Dairy,01-12-2023,806.20,2756
Dodla Dairy,30-11-2023,809.50,6880
Dodla Dairy,29-11-2023,814.35,20018
Dodla Dairy,28-11-2023,829.90,6862
Dodla Dairy,24-11-2023,783.25,13886
Dodla Dairy,23-11-2023,807.95,6388
Dodla Dairy,22-11-2023,821.85,4649
Dodla Dairy,21-11-2023,800.35,17257
Dodla Dairy,20-11-2023,815.00,32698
Dodla Dairy,17-11-2023,831.55,9401
Dodla Dairy,16-11-2023,812.55,29518
Dodla Dairy,15-11-2023,814.25,63421
Dodla Dairy,13-11-2023,747.00,12566
Dodla Dairy,12-11-2023,754.15,9853
Dodla Dairy,10-11-2023,746.00,10013
Dodla Dairy,09-11-2023,737.50,4082
Dodla Dairy,08-11-2023,739.85,27295
Dodla Dairy,07-11-2023,738.75,12368
Dodla Dairy,06-11-2023,698.15,3870
Dodla Dairy,03-11-2023,686.70,7595
Dodla Dairy,02-11-2023,679.60,1523
Dodla Dairy,01-11-2023,679.20,908
Dodla Dairy,31-10-2023,684.30,999
Dodla Dairy,30-10-2023,696.00,5953
Dodla Dairy,27-10-2023,703.30,9539
Dodla Dairy,26-10-2023,698.50,15627
Dodla Dairy,25-10-2023,708.20,7886
Dodla Dairy,23-10-2023,668.00,20320
Dodla Dairy,20-10-2023,671.35,7826
Dodla Dairy,19-10-2023,679.80,728
Dodla Dairy,18-10-2023,685.75,5546
Dodla Dairy,17-10-2023,698.70,2990
Dodla Dairy,16-10-2023,676.25,9024
Dodla Dairy,13-10-2023,678.15,5345
Dodla Dairy,12-10-2023,676.20,6895
Dodla Dairy,11-10-2023,678.05,6433
Dodla Dairy,10-10-2023,683.75,6491
Dodla Dairy,09-10-2023,676.65,10119
Dodla Dairy,06-10-2023,691.45,3119
Dodla Dairy,05-10-2023,695.35,6727
Dodla Dairy,04-10-2023,701.75,17303
Dodla Dairy,03-10-2023,677.10,9179
Dodla Dairy,29-09-2023,692.20,1201
Dodla Dairy,28-09-2023,691.10,6816
Dodla Dairy,27-09-2023,671.70,3528
Dodla Dairy,26-09-2023,686.55,1915
Dodla Dairy,25-09-2023,686.70,4022
Dodla Dairy,22-09-2023,683.95,3219
Dodla Dairy,21-09-2023,677.05,40196
Dodla Dairy,20-09-2023,657.25,8813
Dodla Dairy,18-09-2023,681.60,8773
Dodla Dairy,15-09-2023,698.90,53939
Dodla Dairy,14-09-2023,673.10,10429
Dodla Dairy,13-09-2023,676.10,23570
Dodla Dairy,12-09-2023,711.30,22044
Dodla Dairy,11-09-2023,743.30,1330
Dodla Dairy,08-09-2023,741.65,14666
