Company Name,Date,Close,Volume
Dynamatic Tech,07-12-2023,4448.55,466
Dynamatic Tech,06-12-2023,4488.75,3755
Dynamatic Tech,05-12-2023,4360.80,47596
Dynamatic Tech,04-12-2023,4418.85,81769
Dynamatic Tech,01-12-2023,4451.60,49102
Dynamatic Tech,30-11-2023,4329.45,2197
Dynamatic Tech,29-11-2023,4183.95,218
Dynamatic Tech,28-11-2023,4153.85,830
Dynamatic Tech,24-11-2023,3998.85,385
Dynamatic Tech,23-11-2023,4005.55,438
Dynamatic Tech,22-11-2023,4019.90,394
Dynamatic Tech,21-11-2023,4095.50,1548
Dynamatic Tech,20-11-2023,3953.35,401
Dynamatic Tech,17-11-2023,3971.15,2194
Dynamatic Tech,16-11-2023,3955.35,618
Dynamatic Tech,15-11-2023,4017.00,1034
Dynamatic Tech,13-11-2023,4028.85,1301
Dynamatic Tech,12-11-2023,4189.15,592
Dynamatic Tech,10-11-2023,4165.70,376
Dynamatic Tech,09-11-2023,4226.60,1436
Dynamatic Tech,08-11-2023,4265.95,1488
Dynamatic Tech,07-11-2023,4165.50,1144
Dynamatic Tech,06-11-2023,4023.10,305
Dynamatic Tech,03-11-2023,4017.90,1457
Dynamatic Tech,02-11-2023,3999.10,133
Dynamatic Tech,01-11-2023,3994.40,532
Dynamatic Tech,31-10-2023,4004.90,531
Dynamatic Tech,30-10-2023,3959.50,524
Dynamatic Tech,27-10-2023,4068.05,1356
Dynamatic Tech,26-10-2023,3921.55,1696
Dynamatic Tech,25-10-2023,3955.30,914
Dynamatic Tech,23-10-2023,4205.60,565
Dynamatic Tech,20-10-2023,4362.40,562
Dynamatic Tech,19-10-2023,4430.40,549
Dynamatic Tech,18-10-2023,4443.50,252
Dynamatic Tech,17-10-2023,4446.85,527
Dynamatic Tech,16-10-2023,4398.90,391
Dynamatic Tech,13-10-2023,4438.05,610
Dynamatic Tech,12-10-2023,4408.30,763
Dynamatic Tech,11-10-2023,4563.75,1025
Dynamatic Tech,10-10-2023,4617.95,1372
Dynamatic Tech,09-10-2023,4474.60,1018
Dynamatic Tech,06-10-2023,4618.15,1466
Dynamatic Tech,05-10-2023,4581.85,1671
Dynamatic Tech,04-10-2023,4583.00,6029
Dynamatic Tech,03-10-2023,4289.15,5149
Dynamatic Tech,29-09-2023,4081.95,1244
Dynamatic Tech,28-09-2023,4033.85,1547
Dynamatic Tech,27-09-2023,3978.55,3012
Dynamatic Tech,26-09-2023,4024.15,9399
Dynamatic Tech,25-09-2023,4085.95,1494
Dynamatic Tech,22-09-2023,4224.45,1243
Dynamatic Tech,21-09-2023,4254.55,2665
Dynamatic Tech,20-09-2023,4489.85,4678
Dynamatic Tech,18-09-2023,4137.75,2960
Dynamatic Tech,15-09-2023,3857.50,329
Dynamatic Tech,14-09-2023,3762.25,507
Dynamatic Tech,13-09-2023,3722.85,753
Dynamatic Tech,12-09-2023,3678.55,2141
Dynamatic Tech,11-09-2023,3876.95,485
Dynamatic Tech,08-09-2023,3902.60,509
