Company Name,Date,Close,Volume
Dynamic Cables,07-12-2023,419.60,5469
Dynamic Cables,06-12-2023,420.85,4306
Dynamic Cables,05-12-2023,427.90,21977
Dynamic Cables,04-12-2023,423.50,20803
Dynamic Cables,01-12-2023,403.40,16291
Dynamic Cables,30-11-2023,397.30,8643
Dynamic Cables,29-11-2023,401.40,8146
Dynamic Cables,28-11-2023,402.25,11863
Dynamic Cables,24-11-2023,400.45,10018
Dynamic Cables,23-11-2023,402.85,11371
Dynamic Cables,22-11-2023,397.60,16662
Dynamic Cables,21-11-2023,407.30,16028
Dynamic Cables,20-11-2023,416.05,7422
Dynamic Cables,17-11-2023,423.30,20775
Dynamic Cables,16-11-2023,430.10,26378
Dynamic Cables,15-11-2023,409.65,18847
Dynamic Cables,13-11-2023,390.15,34490
Dynamic Cables,12-11-2023,398.00,17963
Dynamic Cables,10-11-2023,418.90,11546
Dynamic Cables,09-11-2023,440.90,3486
Dynamic Cables,08-11-2023,451.90,1398
Dynamic Cables,07-11-2023,446.20,1333
Dynamic Cables,06-11-2023,455.85,1360
Dynamic Cables,03-11-2023,451.20,4715
Dynamic Cables,02-11-2023,445.05,2342
Dynamic Cables,01-11-2023,440.95,4381
Dynamic Cables,31-10-2023,446.40,3489
Dynamic Cables,30-10-2023,455.95,2462
Dynamic Cables,27-10-2023,451.20,519
Dynamic Cables,26-10-2023,429.75,18017
Dynamic Cables,25-10-2023,436.50,7908
Dynamic Cables,23-10-2023,452.95,3625
Dynamic Cables,20-10-2023,462.70,2492
Dynamic Cables,19-10-2023,469.45,5847
Dynamic Cables,18-10-2023,467.85,5697
Dynamic Cables,17-10-2023,478.75,4435
Dynamic Cables,16-10-2023,477.40,8159
Dynamic Cables,13-10-2023,485.35,14417
Dynamic Cables,12-10-2023,480.00,14571
Dynamic Cables,11-10-2023,457.15,11246
Dynamic Cables,10-10-2023,435.40,7024
Dynamic Cables,09-10-2023,425.35,5940
Dynamic Cables,06-10-2023,444.25,5606
Dynamic Cables,05-10-2023,447.05,6375
Dynamic Cables,04-10-2023,448.00,9659
Dynamic Cables,03-10-2023,454.40,4188
Dynamic Cables,29-09-2023,452.20,2533
Dynamic Cables,28-09-2023,450.30,7196
Dynamic Cables,27-09-2023,458.55,4299
Dynamic Cables,26-09-2023,456.40,7676
Dynamic Cables,25-09-2023,465.40,5835
Dynamic Cables,22-09-2023,469.90,5064
Dynamic Cables,21-09-2023,480.50,6429
Dynamic Cables,20-09-2023,477.75,1749
Dynamic Cables,18-09-2023,483.60,5996
Dynamic Cables,15-09-2023,489.90,1891
Dynamic Cables,14-09-2023,489.25,4419
Dynamic Cables,13-09-2023,486.30,10548
Dynamic Cables,12-09-2023,494.10,13844
Dynamic Cables,11-09-2023,494.85,7971
Dynamic Cables,08-09-2023,471.30,2069
