Company Name,Date,Close,Volume
Eimco Elecon,07-12-2023,1690.15,1160
Eimco Elecon,06-12-2023,1693.30,2055
Eimco Elecon,05-12-2023,1754.30,1668
Eimco Elecon,04-12-2023,1767.00,1754
Eimco Elecon,01-12-2023,1766.40,5047
Eimco Elecon,30-11-2023,1717.50,3253
Eimco Elecon,29-11-2023,1775.50,4902
Eimco Elecon,28-11-2023,1748.15,7787
Eimco Elecon,24-11-2023,1589.25,406
Eimco Elecon,23-11-2023,1444.80,768
Eimco Elecon,22-11-2023,1462.90,557
Eimco Elecon,21-11-2023,1462.55,563
Eimco Elecon,20-11-2023,1524.85,582
Eimco Elecon,17-11-2023,1530.25,2280
Eimco Elecon,16-11-2023,1538.10,1376
Eimco Elecon,15-11-2023,1555.15,1045
Eimco Elecon,13-11-2023,1532.25,1990
Eimco Elecon,12-11-2023,1519.40,2849
Eimco Elecon,10-11-2023,1423.95,1305
Eimco Elecon,09-11-2023,1425.75,1202
Eimco Elecon,08-11-2023,1472.30,3220
Eimco Elecon,07-11-2023,1485.00,3600
Eimco Elecon,06-11-2023,1389.00,1138
Eimco Elecon,03-11-2023,1369.80,1001
Eimco Elecon,02-11-2023,1438.30,2222
Eimco Elecon,01-11-2023,1448.95,3580
Eimco Elecon,31-10-2023,1458.80,3781
Eimco Elecon,30-10-2023,1473.25,8383
Eimco Elecon,27-10-2023,1364.05,2972
Eimco Elecon,26-10-2023,1396.65,4214
Eimco Elecon,25-10-2023,1389.05,8592
Eimco Elecon,23-10-2023,1435.25,3014
Eimco Elecon,20-10-2023,1505.85,1512
Eimco Elecon,19-10-2023,1585.10,5442
Eimco Elecon,18-10-2023,1631.50,12083
Eimco Elecon,17-10-2023,1524.20,12976
Eimco Elecon,16-10-2023,1385.65,8281
Eimco Elecon,13-10-2023,1416.95,13544
Eimco Elecon,12-10-2023,1246.95,2307
Eimco Elecon,11-10-2023,1217.30,17151
Eimco Elecon,10-10-2023,1165.40,15381
Eimco Elecon,09-10-2023,1090.40,9515
Eimco Elecon,06-10-2023,982.40,2522
Eimco Elecon,05-10-2023,935.65,2405
Eimco Elecon,04-10-2023,891.10,3054
Eimco Elecon,03-10-2023,876.80,2493
Eimco Elecon,29-09-2023,900.25,3433
Eimco Elecon,28-09-2023,881.30,496
Eimco Elecon,27-09-2023,868.35,504
Eimco Elecon,26-09-2023,830.45,137
Eimco Elecon,25-09-2023,827.15,174
Eimco Elecon,22-09-2023,839.30,1598
Eimco Elecon,21-09-2023,882.05,407
Eimco Elecon,20-09-2023,866.60,414
Eimco Elecon,18-09-2023,839.20,395
Eimco Elecon,15-09-2023,854.90,96
Eimco Elecon,14-09-2023,883.40,106
Eimco Elecon,13-09-2023,866.05,2199
Eimco Elecon,12-09-2023,905.30,605
Eimco Elecon,11-09-2023,952.90,3734
Eimco Elecon,08-09-2023,919.60,2004
