Company Name,Date,Close,Volume
Elecon Eng,07-12-2023,949.15,14448
Elecon Eng,06-12-2023,930.10,29981
Elecon Eng,05-12-2023,934.50,16005
Elecon Eng,04-12-2023,950.55,50324
Elecon Eng,01-12-2023,937.10,12953
Elecon Eng,30-11-2023,942.45,35433
Elecon Eng,29-11-2023,911.95,29386
Elecon Eng,28-11-2023,930.75,62462
Elecon Eng,24-11-2023,956.75,257284
Elecon Eng,23-11-2023,884.05,7991
Elecon Eng,22-11-2023,882.65,10519
Elecon Eng,21-11-2023,889.20,21546
Elecon Eng,20-11-2023,898.05,38141
Elecon Eng,17-11-2023,887.30,31139
Elecon Eng,16-11-2023,874.65,37499
Elecon Eng,15-11-2023,891.65,8226
Elecon Eng,13-11-2023,901.85,19328
Elecon Eng,12-11-2023,908.50,9750
Elecon Eng,10-11-2023,905.50,9191
Elecon Eng,09-11-2023,899.50,39798
Elecon Eng,08-11-2023,876.30,26858
Elecon Eng,07-11-2023,900.80,61733
Elecon Eng,06-11-2023,926.35,53948
Elecon Eng,03-11-2023,884.70,37823
Elecon Eng,02-11-2023,879.95,23669
Elecon Eng,01-11-2023,866.10,156431
Elecon Eng,31-10-2023,844.55,26816
Elecon Eng,30-10-2023,804.95,29230
Elecon Eng,27-10-2023,791.10,17054
Elecon Eng,26-10-2023,774.65,71910
Elecon Eng,25-10-2023,748.00,65011
Elecon Eng,23-10-2023,777.75,21083
Elecon Eng,20-10-2023,805.85,124043
Elecon Eng,19-10-2023,787.90,40957
Elecon Eng,18-10-2023,793.20,15616
Elecon Eng,17-10-2023,810.80,29573
Elecon Eng,16-10-2023,813.35,13690
Elecon Eng,13-10-2023,837.30,37929
Elecon Eng,12-10-2023,827.70,21415
Elecon Eng,11-10-2023,801.30,48081
Elecon Eng,10-10-2023,782.60,28978
Elecon Eng,09-10-2023,762.75,87717
Elecon Eng,06-10-2023,771.60,19220
Elecon Eng,05-10-2023,796.90,14951
Elecon Eng,04-10-2023,798.65,57746
Elecon Eng,03-10-2023,794.20,74422
Elecon Eng,29-09-2023,774.50,58422
Elecon Eng,28-09-2023,769.90,23834
Elecon Eng,27-09-2023,762.00,65152
Elecon Eng,26-09-2023,733.55,72158
Elecon Eng,25-09-2023,759.15,58911
Elecon Eng,22-09-2023,715.60,93246
Elecon Eng,21-09-2023,704.95,84353
Elecon Eng,20-09-2023,730.55,28136
Elecon Eng,18-09-2023,744.45,27036
Elecon Eng,15-09-2023,761.15,20109
Elecon Eng,14-09-2023,781.75,22102
Elecon Eng,13-09-2023,783.15,118878
Elecon Eng,12-09-2023,792.40,133859
Elecon Eng,11-09-2023,808.95,185537
Elecon Eng,08-09-2023,852.30,75694
