Company Name,Date,Close,Volume
Exide Ind,07-12-2023,294.80,495509
Exide Ind,06-12-2023,291.05,217554
Exide Ind,05-12-2023,292.30,302691
Exide Ind,04-12-2023,294.00,170616
Exide Ind,01-12-2023,291.45,532511
Exide Ind,30-11-2023,284.60,77977
Exide Ind,29-11-2023,284.85,56693
Exide Ind,28-11-2023,283.00,222157
Exide Ind,24-11-2023,281.40,143421
Exide Ind,23-11-2023,283.60,183073
Exide Ind,22-11-2023,283.20,222106
Exide Ind,21-11-2023,285.60,103375
Exide Ind,20-11-2023,281.90,366996
Exide Ind,17-11-2023,281.15,427126
Exide Ind,16-11-2023,272.15,141178
Exide Ind,15-11-2023,272.35,56820
Exide Ind,13-11-2023,271.65,250051
Exide Ind,12-11-2023,269.95,32958
Exide Ind,10-11-2023,268.05,372056
Exide Ind,09-11-2023,268.55,83373
Exide Ind,08-11-2023,266.30,47109
Exide Ind,07-11-2023,268.05,145510
Exide Ind,06-11-2023,267.40,211227
Exide Ind,03-11-2023,256.05,41409
Exide Ind,02-11-2023,257.90,102037
Exide Ind,01-11-2023,252.50,65508
Exide Ind,31-10-2023,255.45,97263
Exide Ind,30-10-2023,254.40,126634
Exide Ind,27-10-2023,251.45,129498
Exide Ind,26-10-2023,246.30,317222
Exide Ind,25-10-2023,250.15,216605
Exide Ind,23-10-2023,251.55,101608
Exide Ind,20-10-2023,257.95,106324
Exide Ind,19-10-2023,265.35,50532
Exide Ind,18-10-2023,267.00,58423
Exide Ind,17-10-2023,268.75,214289
Exide Ind,16-10-2023,264.35,139565
Exide Ind,13-10-2023,262.50,46403
Exide Ind,12-10-2023,264.70,98523
Exide Ind,11-10-2023,262.95,210433
Exide Ind,10-10-2023,258.40,121680
Exide Ind,09-10-2023,254.85,171106
Exide Ind,06-10-2023,259.00,86284
Exide Ind,05-10-2023,256.55,131053
Exide Ind,04-10-2023,256.70,67251
Exide Ind,03-10-2023,259.90,122884
Exide Ind,29-09-2023,260.75,67087
Exide Ind,28-09-2023,257.95,96724
Exide Ind,27-09-2023,260.15,122135
Exide Ind,26-09-2023,256.80,102274
Exide Ind,25-09-2023,259.00,144322
Exide Ind,22-09-2023,256.25,146342
Exide Ind,21-09-2023,258.05,65093
Exide Ind,20-09-2023,261.75,196165
Exide Ind,18-09-2023,265.95,152697
Exide Ind,15-09-2023,268.25,140672
Exide Ind,14-09-2023,268.80,112376
Exide Ind,13-09-2023,267.70,194331
Exide Ind,12-09-2023,266.55,348830
Exide Ind,11-09-2023,277.50,135860
Exide Ind,08-09-2023,273.30,163808
