Company Name,Date,Close,Volume
Fortis Health,07-12-2023,385.45,13750
Fortis Health,06-12-2023,385.75,38525
Fortis Health,05-12-2023,387.95,55696
Fortis Health,04-12-2023,387.30,34609
Fortis Health,01-12-2023,383.20,34121
Fortis Health,30-11-2023,385.35,40719
Fortis Health,29-11-2023,377.10,76327
Fortis Health,28-11-2023,373.50,53704
Fortis Health,24-11-2023,366.30,27568
Fortis Health,23-11-2023,365.15,33250
Fortis Health,22-11-2023,365.55,118740
Fortis Health,21-11-2023,372.05,109281
Fortis Health,20-11-2023,360.70,15389
Fortis Health,17-11-2023,356.15,28178
Fortis Health,16-11-2023,362.45,56723
Fortis Health,15-11-2023,358.15,65538
Fortis Health,13-11-2023,369.15,146329
Fortis Health,12-11-2023,358.65,22304
Fortis Health,10-11-2023,359.15,136218
Fortis Health,09-11-2023,342.05,36374
Fortis Health,08-11-2023,340.20,21709
Fortis Health,07-11-2023,337.35,21229
Fortis Health,06-11-2023,333.75,4884
Fortis Health,03-11-2023,333.65,11631
Fortis Health,02-11-2023,329.95,7004
Fortis Health,01-11-2023,327.20,21551
Fortis Health,31-10-2023,322.10,13897
Fortis Health,30-10-2023,326.70,31589
Fortis Health,27-10-2023,324.90,9988
Fortis Health,26-10-2023,319.70,56957
Fortis Health,25-10-2023,330.20,56234
Fortis Health,23-10-2023,325.45,23216
Fortis Health,20-10-2023,332.80,5682
Fortis Health,19-10-2023,332.95,6650
Fortis Health,18-10-2023,335.65,4592
Fortis Health,17-10-2023,337.35,10712
Fortis Health,16-10-2023,336.45,9318
Fortis Health,13-10-2023,338.10,16274
Fortis Health,12-10-2023,336.35,28370
Fortis Health,11-10-2023,333.75,7272
Fortis Health,10-10-2023,333.15,6140
Fortis Health,09-10-2023,329.80,9346
Fortis Health,06-10-2023,327.70,11003
Fortis Health,05-10-2023,327.85,21236
Fortis Health,04-10-2023,336.00,16482
Fortis Health,03-10-2023,339.65,23419
Fortis Health,29-09-2023,339.95,20019
Fortis Health,28-09-2023,343.40,26951
Fortis Health,27-09-2023,340.50,26390
Fortis Health,26-09-2023,335.65,48660
Fortis Health,25-09-2023,332.30,18098
Fortis Health,22-09-2023,331.25,14964
Fortis Health,21-09-2023,335.95,22494
Fortis Health,20-09-2023,336.80,69610
Fortis Health,18-09-2023,325.70,29945
Fortis Health,15-09-2023,330.20,20230
Fortis Health,14-09-2023,332.70,38338
Fortis Health,13-09-2023,328.70,40896
Fortis Health,12-09-2023,335.30,37153
Fortis Health,11-09-2023,341.20,20758
Fortis Health,08-09-2023,339.15,43713
