Company Name,Date,Close,Volume
Garden Reach Sh,07-12-2023,848.00,60160
Garden Reach Sh,06-12-2023,862.25,75623
Garden Reach Sh,05-12-2023,835.30,24599
Garden Reach Sh,04-12-2023,840.95,13413
Garden Reach Sh,01-12-2023,835.40,13951
Garden Reach Sh,30-11-2023,846.60,31230
Garden Reach Sh,29-11-2023,828.85,13258
Garden Reach Sh,28-11-2023,829.05,19173
Garden Reach Sh,24-11-2023,833.70,26202
Garden Reach Sh,23-11-2023,833.40,67409
Garden Reach Sh,22-11-2023,805.05,21269
Garden Reach Sh,21-11-2023,809.70,103847
Garden Reach Sh,20-11-2023,786.85,18256
Garden Reach Sh,17-11-2023,775.65,8564
Garden Reach Sh,16-11-2023,782.65,18210
Garden Reach Sh,15-11-2023,790.25,72186
Garden Reach Sh,13-11-2023,768.85,10568
Garden Reach Sh,12-11-2023,777.60,16448
Garden Reach Sh,10-11-2023,774.25,17709
Garden Reach Sh,09-11-2023,779.15,11392
Garden Reach Sh,08-11-2023,775.95,12154
Garden Reach Sh,07-11-2023,774.90,20072
Garden Reach Sh,06-11-2023,762.20,47663
Garden Reach Sh,03-11-2023,743.05,9555
Garden Reach Sh,02-11-2023,740.70,20057
Garden Reach Sh,01-11-2023,735.25,8523
Garden Reach Sh,31-10-2023,742.35,46788
Garden Reach Sh,30-10-2023,742.25,27138
Garden Reach Sh,27-10-2023,763.15,157520
Garden Reach Sh,26-10-2023,743.25,243144
Garden Reach Sh,25-10-2023,683.30,111640
Garden Reach Sh,23-10-2023,700.70,33241
Garden Reach Sh,20-10-2023,757.50,26023
Garden Reach Sh,19-10-2023,787.90,10757
Garden Reach Sh,18-10-2023,793.35,42901
Garden Reach Sh,17-10-2023,806.15,13027
Garden Reach Sh,16-10-2023,810.70,23107
Garden Reach Sh,13-10-2023,798.20,41642
Garden Reach Sh,12-10-2023,801.40,39299
Garden Reach Sh,11-10-2023,805.40,13060
Garden Reach Sh,10-10-2023,801.25,26242
Garden Reach Sh,09-10-2023,785.65,73752
Garden Reach Sh,06-10-2023,817.05,29973
Garden Reach Sh,05-10-2023,817.30,68334
Garden Reach Sh,04-10-2023,807.15,24091
Garden Reach Sh,03-10-2023,829.95,12922
Garden Reach Sh,29-09-2023,841.00,42323
Garden Reach Sh,28-09-2023,828.00,47487
Garden Reach Sh,27-09-2023,835.70,48157
Garden Reach Sh,26-09-2023,844.05,234879
Garden Reach Sh,25-09-2023,796.60,19967
Garden Reach Sh,22-09-2023,808.70,76678
Garden Reach Sh,21-09-2023,830.10,37527
Garden Reach Sh,20-09-2023,843.55,60859
Garden Reach Sh,18-09-2023,823.00,62754
Garden Reach Sh,15-09-2023,844.45,121717
Garden Reach Sh,14-09-2023,792.90,27381
Garden Reach Sh,13-09-2023,798.15,89224
Garden Reach Sh,12-09-2023,814.50,104887
Garden Reach Sh,11-09-2023,896.80,67364
Garden Reach Sh,08-09-2023,885.10,341594
