Company Name,Date,Close,Volume
Global Health,07-12-2023,939.20,18091
Global Health,06-12-2023,973.70,44700
Global Health,05-12-2023,1004.45,42991
Global Health,04-12-2023,979.75,30274
Global Health,01-12-2023,971.10,27100
Global Health,30-11-2023,959.80,37522
Global Health,29-11-2023,920.10,9119
Global Health,28-11-2023,920.55,162663
Global Health,24-11-2023,903.85,5135
Global Health,23-11-2023,897.90,1438
Global Health,22-11-2023,895.60,3057
Global Health,21-11-2023,893.60,9604
Global Health,20-11-2023,898.30,5792
Global Health,17-11-2023,902.35,18552
Global Health,16-11-2023,888.60,25249
Global Health,15-11-2023,893.15,17314
Global Health,13-11-2023,910.80,19073
Global Health,12-11-2023,949.80,25427
Global Health,10-11-2023,906.05,41077
Global Health,09-11-2023,860.05,41755
Global Health,08-11-2023,832.05,8490
Global Health,07-11-2023,830.55,8907
Global Health,06-11-2023,837.55,18124
Global Health,03-11-2023,806.60,33683
Global Health,02-11-2023,816.75,29696
Global Health,01-11-2023,800.90,11289
Global Health,31-10-2023,784.55,9039
Global Health,30-10-2023,762.30,7542
Global Health,27-10-2023,757.75,3225
Global Health,26-10-2023,746.40,31576
Global Health,25-10-2023,737.85,9871
Global Health,23-10-2023,749.45,7942
Global Health,20-10-2023,767.45,13418
Global Health,19-10-2023,776.30,4345
Global Health,18-10-2023,772.90,3900
Global Health,17-10-2023,776.40,20164
Global Health,16-10-2023,788.25,8077
Global Health,13-10-2023,777.60,18106
Global Health,12-10-2023,764.55,7043
Global Health,11-10-2023,766.10,13269
Global Health,10-10-2023,749.70,6922
Global Health,09-10-2023,749.70,14700
Global Health,06-10-2023,747.55,9567
Global Health,05-10-2023,739.75,28369
Global Health,04-10-2023,740.70,13162
Global Health,03-10-2023,747.15,35235
Global Health,29-09-2023,715.50,27687
Global Health,28-09-2023,717.00,23393
Global Health,27-09-2023,693.80,2645
Global Health,26-09-2023,691.75,2639
Global Health,25-09-2023,695.45,2899
Global Health,22-09-2023,693.60,8735
Global Health,21-09-2023,680.30,11487
Global Health,20-09-2023,690.60,12371
Global Health,18-09-2023,696.55,11078
Global Health,15-09-2023,702.70,4376
Global Health,14-09-2023,699.70,21228
Global Health,13-09-2023,701.80,24682
Global Health,12-09-2023,677.15,11565
Global Health,11-09-2023,698.10,15784
Global Health,08-09-2023,695.85,71685
