Company Name,Date,Close,Volume
Gokaldas Export,07-12-2023,920.60,23991
Gokaldas Export,06-12-2023,922.50,18416
Gokaldas Export,05-12-2023,940.70,433892
Gokaldas Export,04-12-2023,1001.30,45114
Gokaldas Export,01-12-2023,956.75,22403
Gokaldas Export,30-11-2023,985.00,32689
Gokaldas Export,29-11-2023,932.75,14200
Gokaldas Export,28-11-2023,911.35,20473
Gokaldas Export,24-11-2023,949.85,13657
Gokaldas Export,23-11-2023,934.90,28204
Gokaldas Export,22-11-2023,921.90,41790
Gokaldas Export,21-11-2023,910.10,31603
Gokaldas Export,20-11-2023,901.30,31281
Gokaldas Export,17-11-2023,882.50,26090
Gokaldas Export,16-11-2023,866.85,9090
Gokaldas Export,15-11-2023,861.95,17115
Gokaldas Export,13-11-2023,822.85,5893
Gokaldas Export,12-11-2023,818.85,8424
Gokaldas Export,10-11-2023,821.60,32165
Gokaldas Export,09-11-2023,807.60,7408
Gokaldas Export,08-11-2023,789.35,22130
Gokaldas Export,07-11-2023,799.95,8455
Gokaldas Export,06-11-2023,801.05,58131
Gokaldas Export,03-11-2023,778.40,41977
Gokaldas Export,02-11-2023,798.60,24740
Gokaldas Export,01-11-2023,796.10,31795
Gokaldas Export,31-10-2023,834.65,77792
Gokaldas Export,30-10-2023,856.20,23100
Gokaldas Export,27-10-2023,853.35,32571
Gokaldas Export,26-10-2023,827.15,44390
Gokaldas Export,25-10-2023,856.85,29069
Gokaldas Export,23-10-2023,874.75,31037
Gokaldas Export,20-10-2023,935.20,45733
Gokaldas Export,19-10-2023,969.90,42224
Gokaldas Export,18-10-2023,926.40,12701
Gokaldas Export,17-10-2023,925.25,40814
Gokaldas Export,16-10-2023,944.50,177030
Gokaldas Export,13-10-2023,867.50,74598
Gokaldas Export,12-10-2023,850.55,63171
Gokaldas Export,11-10-2023,831.65,69083
Gokaldas Export,10-10-2023,800.80,30337
Gokaldas Export,09-10-2023,771.05,69206
Gokaldas Export,06-10-2023,807.55,65896
Gokaldas Export,05-10-2023,793.80,32234
Gokaldas Export,04-10-2023,770.30,48264
Gokaldas Export,03-10-2023,777.50,20434
Gokaldas Export,29-09-2023,756.80,27513
Gokaldas Export,28-09-2023,771.95,35756
Gokaldas Export,27-09-2023,766.00,27781
Gokaldas Export,26-09-2023,767.45,15463
Gokaldas Export,25-09-2023,755.50,36784
Gokaldas Export,22-09-2023,779.55,56907
Gokaldas Export,21-09-2023,737.70,30645
Gokaldas Export,20-09-2023,767.40,29759
Gokaldas Export,18-09-2023,762.95,140226
Gokaldas Export,15-09-2023,775.80,36004
Gokaldas Export,14-09-2023,778.25,17124
Gokaldas Export,13-09-2023,789.65,16873
Gokaldas Export,12-09-2023,763.30,41861
Gokaldas Export,11-09-2023,780.75,31305
Gokaldas Export,08-09-2023,770.50,17537
