Company Name,Date,Close,Volume
Goldstone Tech,07-12-2023,130.20,1420
Goldstone Tech,06-12-2023,127.65,3483
Goldstone Tech,05-12-2023,125.15,10955
Goldstone Tech,04-12-2023,122.70,3392
Goldstone Tech,01-12-2023,120.30,4330
Goldstone Tech,30-11-2023,117.95,4090
Goldstone Tech,29-11-2023,115.64,4536
Goldstone Tech,28-11-2023,118.00,4401
Goldstone Tech,24-11-2023,115.77,7325
Goldstone Tech,23-11-2023,113.50,10667
Goldstone Tech,22-11-2023,113.00,24695
Goldstone Tech,21-11-2023,112.65,1436
Goldstone Tech,20-11-2023,107.29,7650
Goldstone Tech,17-11-2023,102.19,10015
Goldstone Tech,16-11-2023,97.33,2021
Goldstone Tech,15-11-2023,95.98,11303
Goldstone Tech,13-11-2023,92.45,9833
Goldstone Tech,12-11-2023,93.53,3691
Goldstone Tech,10-11-2023,91.63,600
Goldstone Tech,09-11-2023,93.49,6371
Goldstone Tech,08-11-2023,91.75,3628
Goldstone Tech,07-11-2023,92.61,2964
Goldstone Tech,06-11-2023,94.44,3217
Goldstone Tech,03-11-2023,92.59,1066
Goldstone Tech,02-11-2023,90.78,839
Goldstone Tech,01-11-2023,89.00,1467
Goldstone Tech,31-10-2023,87.95,302
Goldstone Tech,30-10-2023,86.25,17085
Goldstone Tech,27-10-2023,88.00,1863
Goldstone Tech,26-10-2023,89.40,113
Goldstone Tech,25-10-2023,91.20,7435
Goldstone Tech,23-10-2023,93.05,480
Goldstone Tech,20-10-2023,94.90,1176
Goldstone Tech,19-10-2023,93.05,1033
Goldstone Tech,18-10-2023,91.25,2657
Goldstone Tech,17-10-2023,93.00,7651
Goldstone Tech,16-10-2023,94.00,474
Goldstone Tech,13-10-2023,95.90,4933
Goldstone Tech,12-10-2023,96.00,2968
Goldstone Tech,11-10-2023,96.50,2161
Goldstone Tech,10-10-2023,97.00,4603
Goldstone Tech,09-10-2023,96.20,3471
Goldstone Tech,06-10-2023,97.95,951
Goldstone Tech,05-10-2023,96.05,1328
Goldstone Tech,04-10-2023,98.00,6377
Goldstone Tech,03-10-2023,100.00,15434
Goldstone Tech,29-09-2023,102.00,5873
Goldstone Tech,28-09-2023,99.22,8722
Goldstone Tech,27-09-2023,94.50,5634
Goldstone Tech,26-09-2023,91.50,2892
Goldstone Tech,25-09-2023,88.90,357
Goldstone Tech,22-09-2023,86.11,665
Goldstone Tech,21-09-2023,86.74,3282
Goldstone Tech,20-09-2023,88.60,1822
Goldstone Tech,18-09-2023,90.00,2682
Goldstone Tech,15-09-2023,93.00,590
Goldstone Tech,14-09-2023,93.53,2745
Goldstone Tech,13-09-2023,93.54,5794
Goldstone Tech,12-09-2023,91.20,11457
Goldstone Tech,11-09-2023,95.99,13291
Goldstone Tech,08-09-2023,97.02,19211
