Company Name,Date,Close,Volume
HDFC Life,07-12-2023,677.65,66468
HDFC Life,06-12-2023,677.15,90122
HDFC Life,05-12-2023,672.80,68091
HDFC Life,04-12-2023,674.60,42094
HDFC Life,01-12-2023,681.55,94507
HDFC Life,30-11-2023,690.85,89602
HDFC Life,29-11-2023,675.50,35345
HDFC Life,28-11-2023,673.25,37533
HDFC Life,24-11-2023,667.90,31441
HDFC Life,23-11-2023,664.65,93175
HDFC Life,22-11-2023,668.55,191087
HDFC Life,21-11-2023,668.15,66872
HDFC Life,20-11-2023,651.50,30404
HDFC Life,17-11-2023,651.70,190842
HDFC Life,16-11-2023,635.05,24227
HDFC Life,15-11-2023,635.85,81125
HDFC Life,13-11-2023,621.25,104277
HDFC Life,12-11-2023,627.05,22670
HDFC Life,10-11-2023,626.90,75103
HDFC Life,09-11-2023,621.40,51947
HDFC Life,08-11-2023,618.60,34551
HDFC Life,07-11-2023,622.55,28799
HDFC Life,06-11-2023,621.45,37638
HDFC Life,03-11-2023,622.15,32794
HDFC Life,02-11-2023,619.35,40621
HDFC Life,01-11-2023,620.30,63154
HDFC Life,31-10-2023,618.80,68007
HDFC Life,30-10-2023,607.90,140459
HDFC Life,27-10-2023,608.45,23008
HDFC Life,26-10-2023,605.50,38020
HDFC Life,25-10-2023,616.30,147207
HDFC Life,23-10-2023,625.25,89582
HDFC Life,20-10-2023,640.00,20000
HDFC Life,19-10-2023,638.05,28848
HDFC Life,18-10-2023,644.80,189099
HDFC Life,17-10-2023,641.85,140417
HDFC Life,16-10-2023,630.20,61806
HDFC Life,13-10-2023,625.00,177577
HDFC Life,12-10-2023,624.65,54084
HDFC Life,11-10-2023,621.60,60764
HDFC Life,10-10-2023,620.95,67492
HDFC Life,09-10-2023,615.15,64097
HDFC Life,06-10-2023,630.95,32314
HDFC Life,05-10-2023,624.30,36723
HDFC Life,04-10-2023,625.25,52265
HDFC Life,03-10-2023,633.65,65763
HDFC Life,29-09-2023,637.50,21604
HDFC Life,28-09-2023,634.50,72510
HDFC Life,27-09-2023,648.25,18637
HDFC Life,26-09-2023,643.95,28935
HDFC Life,25-09-2023,641.85,29831
HDFC Life,22-09-2023,648.90,22059
HDFC Life,21-09-2023,643.90,26329
HDFC Life,20-09-2023,647.85,64163
HDFC Life,18-09-2023,660.60,170318
HDFC Life,15-09-2023,644.90,38543
HDFC Life,14-09-2023,645.30,41751
HDFC Life,13-09-2023,650.15,106428
HDFC Life,12-09-2023,661.10,1050723
HDFC Life,11-09-2023,668.00,94664
HDFC Life,08-09-2023,657.40,110951
