Company Name,Date,Close,Volume
IIFL Finance,07-12-2023,631.65,20325
IIFL Finance,06-12-2023,636.45,11352
IIFL Finance,05-12-2023,625.20,19753
IIFL Finance,04-12-2023,632.15,76809
IIFL Finance,01-12-2023,613.55,13105
IIFL Finance,30-11-2023,606.65,15125
IIFL Finance,29-11-2023,597.35,7732
IIFL Finance,28-11-2023,595.75,21599
IIFL Finance,24-11-2023,604.65,23925
IIFL Finance,23-11-2023,603.55,96592
IIFL Finance,22-11-2023,579.80,25677
IIFL Finance,21-11-2023,597.20,38730
IIFL Finance,20-11-2023,608.05,22455
IIFL Finance,17-11-2023,620.90,34592
IIFL Finance,16-11-2023,640.75,18469
IIFL Finance,15-11-2023,631.00,20904
IIFL Finance,13-11-2023,623.40,9599
IIFL Finance,12-11-2023,606.90,11474
IIFL Finance,10-11-2023,617.35,10407
IIFL Finance,09-11-2023,618.20,33806
IIFL Finance,08-11-2023,610.80,10986
IIFL Finance,07-11-2023,615.10,14161
IIFL Finance,06-11-2023,613.45,8401
IIFL Finance,03-11-2023,617.30,17052
IIFL Finance,02-11-2023,608.65,15563
IIFL Finance,01-11-2023,609.10,26122
IIFL Finance,31-10-2023,620.05,29382
IIFL Finance,30-10-2023,599.55,35802
IIFL Finance,27-10-2023,606.85,30334
IIFL Finance,26-10-2023,598.90,66148
IIFL Finance,25-10-2023,620.15,25923
IIFL Finance,23-10-2023,610.25,54871
IIFL Finance,20-10-2023,642.05,30623
IIFL Finance,19-10-2023,655.30,190231
IIFL Finance,18-10-2023,647.15,40124
IIFL Finance,17-10-2023,665.60,29196
IIFL Finance,16-10-2023,672.15,182301
IIFL Finance,13-10-2023,632.00,19249
IIFL Finance,12-10-2023,638.30,511691
IIFL Finance,11-10-2023,625.55,11948
IIFL Finance,10-10-2023,633.20,25126
IIFL Finance,09-10-2023,627.40,23307
IIFL Finance,06-10-2023,635.40,9693
IIFL Finance,05-10-2023,611.65,9267
IIFL Finance,04-10-2023,612.25,9695
IIFL Finance,03-10-2023,611.95,32687
IIFL Finance,29-09-2023,597.75,10997
IIFL Finance,28-09-2023,593.85,35439
IIFL Finance,27-09-2023,585.10,17108
IIFL Finance,26-09-2023,579.55,18093
IIFL Finance,25-09-2023,576.10,15002
IIFL Finance,22-09-2023,578.15,9447
IIFL Finance,21-09-2023,584.70,15850
IIFL Finance,20-09-2023,590.40,5230
IIFL Finance,18-09-2023,586.35,19084
IIFL Finance,15-09-2023,583.95,9238
IIFL Finance,14-09-2023,590.40,10957
IIFL Finance,13-09-2023,584.40,12045
IIFL Finance,12-09-2023,577.25,41718
IIFL Finance,11-09-2023,617.65,30678
IIFL Finance,08-09-2023,613.20,53345
