Company Name,Date,Close,Volume
Indian Hume,07-12-2023,272.95,10050
Indian Hume,06-12-2023,276.45,20015
Indian Hume,05-12-2023,275.35,55144
Indian Hume,04-12-2023,254.65,5389
Indian Hume,01-12-2023,248.45,4713
Indian Hume,30-11-2023,250.70,1790
Indian Hume,29-11-2023,255.10,2118
Indian Hume,28-11-2023,252.20,1579
Indian Hume,24-11-2023,246.05,1851
Indian Hume,23-11-2023,249.00,2398
Indian Hume,22-11-2023,250.05,4078
Indian Hume,21-11-2023,255.85,1175
Indian Hume,20-11-2023,255.75,13059
Indian Hume,17-11-2023,253.30,12554
Indian Hume,16-11-2023,242.95,1787
Indian Hume,15-11-2023,248.00,13202
Indian Hume,13-11-2023,233.75,2239
Indian Hume,12-11-2023,234.90,2240
Indian Hume,10-11-2023,232.85,1612
Indian Hume,09-11-2023,229.50,3765
Indian Hume,08-11-2023,233.00,1454
Indian Hume,07-11-2023,234.50,4485
Indian Hume,06-11-2023,233.70,3520
Indian Hume,03-11-2023,233.40,924
Indian Hume,02-11-2023,235.30,1352
Indian Hume,01-11-2023,229.10,4286
Indian Hume,31-10-2023,222.70,2715
Indian Hume,30-10-2023,223.45,7356
Indian Hume,27-10-2023,230.40,2357
Indian Hume,26-10-2023,221.80,2153
Indian Hume,25-10-2023,219.50,6330
Indian Hume,23-10-2023,231.55,9164
Indian Hume,20-10-2023,253.10,3907
Indian Hume,19-10-2023,258.95,27320
Indian Hume,18-10-2023,253.70,12167
Indian Hume,17-10-2023,248.75,15078
Indian Hume,16-10-2023,239.45,5176
Indian Hume,13-10-2023,243.75,4853
Indian Hume,12-10-2023,245.10,452
Indian Hume,11-10-2023,243.50,1908
Indian Hume,10-10-2023,244.45,2832
Indian Hume,09-10-2023,241.85,7447
Indian Hume,06-10-2023,252.40,5288
Indian Hume,05-10-2023,244.90,3093
Indian Hume,04-10-2023,239.25,7408
Indian Hume,03-10-2023,249.90,6792
Indian Hume,29-09-2023,241.70,5620
Indian Hume,28-09-2023,242.50,3053
Indian Hume,27-09-2023,241.60,816
Indian Hume,26-09-2023,245.60,5537
Indian Hume,25-09-2023,240.55,2918
Indian Hume,22-09-2023,244.25,5368
Indian Hume,21-09-2023,244.70,2749
Indian Hume,20-09-2023,251.75,3297
Indian Hume,18-09-2023,257.25,4037
Indian Hume,15-09-2023,262.20,8007
Indian Hume,14-09-2023,253.60,5005
Indian Hume,13-09-2023,254.95,7752
Indian Hume,12-09-2023,252.35,21567
Indian Hume,11-09-2023,272.05,1834
Indian Hume,08-09-2023,274.55,2852
