Company Name,Date,Close,Volume
Indraprastha,07-12-2023,407.95,171869
Indraprastha,06-12-2023,400.85,38430
Indraprastha,05-12-2023,403.55,272056
Indraprastha,04-12-2023,401.60,62118
Indraprastha,01-12-2023,394.70,52542
Indraprastha,30-11-2023,389.00,534693
Indraprastha,29-11-2023,390.30,19290
Indraprastha,28-11-2023,389.35,65195
Indraprastha,24-11-2023,392.05,22883
Indraprastha,23-11-2023,390.20,78725
Indraprastha,22-11-2023,389.55,60859
Indraprastha,21-11-2023,388.50,133908
Indraprastha,20-11-2023,385.25,68423
Indraprastha,17-11-2023,388.05,2361140
Indraprastha,16-11-2023,388.20,191357
Indraprastha,15-11-2023,387.30,114457
Indraprastha,13-11-2023,392.40,264461
Indraprastha,12-11-2023,397.70,21121
Indraprastha,10-11-2023,394.30,17642
Indraprastha,09-11-2023,394.95,64813
Indraprastha,08-11-2023,395.95,39453
Indraprastha,07-11-2023,400.25,83499
Indraprastha,06-11-2023,401.40,47575
Indraprastha,03-11-2023,400.15,179325
Indraprastha,02-11-2023,390.00,52228
Indraprastha,01-11-2023,380.55,204254
Indraprastha,31-10-2023,382.80,36381
Indraprastha,30-10-2023,385.00,99262
Indraprastha,27-10-2023,382.35,49363
Indraprastha,26-10-2023,386.75,51772
Indraprastha,25-10-2023,399.35,57068
Indraprastha,23-10-2023,392.05,130694
Indraprastha,20-10-2023,403.00,548224
Indraprastha,19-10-2023,457.45,96777
Indraprastha,18-10-2023,481.00,11835
Indraprastha,17-10-2023,486.65,41752
Indraprastha,16-10-2023,480.65,97245
Indraprastha,13-10-2023,472.50,19475
Indraprastha,12-10-2023,477.90,153291
Indraprastha,11-10-2023,460.45,226761
Indraprastha,10-10-2023,458.30,9639
Indraprastha,09-10-2023,460.30,18998
Indraprastha,06-10-2023,460.15,46516
Indraprastha,05-10-2023,458.05,24147
Indraprastha,04-10-2023,457.40,42521
Indraprastha,03-10-2023,461.85,157208
Indraprastha,29-09-2023,454.30,23026
Indraprastha,28-09-2023,449.85,21653
Indraprastha,27-09-2023,454.40,16207
Indraprastha,26-09-2023,454.80,7653
Indraprastha,25-09-2023,454.90,31187
Indraprastha,22-09-2023,454.85,18096
Indraprastha,21-09-2023,456.20,21446
Indraprastha,20-09-2023,463.10,15088
Indraprastha,18-09-2023,467.35,22694
Indraprastha,15-09-2023,473.35,18537
Indraprastha,14-09-2023,470.95,39370
Indraprastha,13-09-2023,463.10,30261
Indraprastha,12-09-2023,459.00,53818
Indraprastha,11-09-2023,478.20,32886
Indraprastha,08-09-2023,481.35,186572
