Company Name,Date,Close,Volume
Interglobe Avi,07-12-2023,2879.35,43352
Interglobe Avi,06-12-2023,2871.20,26710
Interglobe Avi,05-12-2023,2842.00,14996
Interglobe Avi,04-12-2023,2818.80,22658
Interglobe Avi,01-12-2023,2743.55,36978
Interglobe Avi,30-11-2023,2704.55,33114
Interglobe Avi,29-11-2023,2690.10,38344
Interglobe Avi,28-11-2023,2643.90,30887
Interglobe Avi,24-11-2023,2568.85,13497
Interglobe Avi,23-11-2023,2606.10,8064
Interglobe Avi,22-11-2023,2602.15,6579
Interglobe Avi,21-11-2023,2620.50,6301
Interglobe Avi,20-11-2023,2630.50,19484
Interglobe Avi,17-11-2023,2607.65,45456
Interglobe Avi,16-11-2023,2567.90,7404
Interglobe Avi,15-11-2023,2542.75,6449
Interglobe Avi,13-11-2023,2539.65,7062
Interglobe Avi,12-11-2023,2525.85,1445
Interglobe Avi,10-11-2023,2501.45,25736
Interglobe Avi,09-11-2023,2583.05,12032
Interglobe Avi,08-11-2023,2576.25,11573
Interglobe Avi,07-11-2023,2585.10,15538
Interglobe Avi,06-11-2023,2559.60,29093
Interglobe Avi,03-11-2023,2508.45,13452
Interglobe Avi,02-11-2023,2489.45,18660
Interglobe Avi,01-11-2023,2418.90,7024
Interglobe Avi,31-10-2023,2452.20,7978
Interglobe Avi,30-10-2023,2494.55,10118
Interglobe Avi,27-10-2023,2472.00,13026
Interglobe Avi,26-10-2023,2413.40,11349
Interglobe Avi,25-10-2023,2430.55,19834
Interglobe Avi,23-10-2023,2391.80,10560
Interglobe Avi,20-10-2023,2437.15,11946
Interglobe Avi,19-10-2023,2525.10,8584
Interglobe Avi,18-10-2023,2570.50,4065
Interglobe Avi,17-10-2023,2598.80,6873
Interglobe Avi,16-10-2023,2592.95,12891
Interglobe Avi,13-10-2023,2609.60,28452
Interglobe Avi,12-10-2023,2582.40,39656
Interglobe Avi,11-10-2023,2533.75,20018
Interglobe Avi,10-10-2023,2510.45,18182
Interglobe Avi,09-10-2023,2474.20,28357
Interglobe Avi,06-10-2023,2535.00,73901
Interglobe Avi,05-10-2023,2474.70,21397
Interglobe Avi,04-10-2023,2383.80,27354
Interglobe Avi,03-10-2023,2420.45,22827
Interglobe Avi,29-09-2023,2381.70,11083
Interglobe Avi,28-09-2023,2345.40,6712
Interglobe Avi,27-09-2023,2387.05,10720
Interglobe Avi,26-09-2023,2404.50,6424
Interglobe Avi,25-09-2023,2378.70,9387
Interglobe Avi,22-09-2023,2359.75,14611
Interglobe Avi,21-09-2023,2386.15,9709
Interglobe Avi,20-09-2023,2400.50,24867
Interglobe Avi,18-09-2023,2399.75,10867
Interglobe Avi,15-09-2023,2390.50,54907
Interglobe Avi,14-09-2023,2465.50,10573
Interglobe Avi,13-09-2023,2446.60,14932
Interglobe Avi,12-09-2023,2493.00,22572
Interglobe Avi,11-09-2023,2500.95,9634
Interglobe Avi,08-09-2023,2472.80,256553
