Company Name,Date,Close,Volume
JB Chemicals,07-12-2023,1498.40,9061
JB Chemicals,06-12-2023,1494.60,2647
JB Chemicals,05-12-2023,1461.10,2654
JB Chemicals,04-12-2023,1467.65,4177
JB Chemicals,01-12-2023,1459.20,7780
JB Chemicals,30-11-2023,1456.35,5162
JB Chemicals,29-11-2023,1409.95,4844
JB Chemicals,28-11-2023,1390.25,11921
JB Chemicals,24-11-2023,1420.65,5478
JB Chemicals,23-11-2023,1439.45,7744
JB Chemicals,22-11-2023,1502.95,2406
JB Chemicals,21-11-2023,1492.50,8575
JB Chemicals,20-11-2023,1511.90,3677
JB Chemicals,17-11-2023,1514.30,7638
JB Chemicals,16-11-2023,1503.05,5597
JB Chemicals,15-11-2023,1515.00,5351
JB Chemicals,13-11-2023,1500.20,6161
JB Chemicals,12-11-2023,1502.95,1203
JB Chemicals,10-11-2023,1500.30,7386
JB Chemicals,09-11-2023,1503.75,9951
JB Chemicals,08-11-2023,1461.95,9141
JB Chemicals,07-11-2023,1454.00,3846
JB Chemicals,06-11-2023,1410.90,2631
JB Chemicals,03-11-2023,1399.05,4109
JB Chemicals,02-11-2023,1401.20,3798
JB Chemicals,01-11-2023,1400.55,5667
JB Chemicals,31-10-2023,1398.65,2166
JB Chemicals,30-10-2023,1391.25,1447
JB Chemicals,27-10-2023,1359.70,5206
JB Chemicals,26-10-2023,1311.85,5482
JB Chemicals,25-10-2023,1291.25,11365
JB Chemicals,23-10-2023,1287.70,3623
JB Chemicals,20-10-2023,1344.50,6553
JB Chemicals,19-10-2023,1339.05,11225
JB Chemicals,18-10-2023,1391.30,5915
JB Chemicals,17-10-2023,1409.30,1815
JB Chemicals,16-10-2023,1404.95,7894
JB Chemicals,13-10-2023,1453.30,1965
JB Chemicals,12-10-2023,1470.80,4531
JB Chemicals,11-10-2023,1496.25,2751
JB Chemicals,10-10-2023,1473.75,2794
JB Chemicals,09-10-2023,1474.40,8836
JB Chemicals,06-10-2023,1496.55,9954
JB Chemicals,05-10-2023,1498.25,4658
JB Chemicals,04-10-2023,1489.65,5567
JB Chemicals,03-10-2023,1501.70,9813
JB Chemicals,29-09-2023,1483.65,4755
JB Chemicals,28-09-2023,1402.45,3722
JB Chemicals,27-09-2023,1412.20,3612
JB Chemicals,26-09-2023,1408.65,3807
JB Chemicals,25-09-2023,1431.90,11228
JB Chemicals,22-09-2023,1377.75,6788
JB Chemicals,21-09-2023,1436.20,9015
JB Chemicals,20-09-2023,1481.55,2474
JB Chemicals,18-09-2023,1483.05,3961
JB Chemicals,15-09-2023,1477.90,4588
JB Chemicals,14-09-2023,1486.93,8748
JB Chemicals,13-09-2023,1470.48,20692
JB Chemicals,12-09-2023,1463.40,28086
JB Chemicals,11-09-2023,1421.18,5486
JB Chemicals,08-09-2023,1389.20,8722
