Company Name,Date,Close,Volume
Jindal Drilling,07-12-2023,846.55,14475
Jindal Drilling,06-12-2023,865.60,37340
Jindal Drilling,05-12-2023,878.85,13756
Jindal Drilling,04-12-2023,870.60,41578
Jindal Drilling,01-12-2023,846.50,19284
Jindal Drilling,30-11-2023,806.05,12710
Jindal Drilling,29-11-2023,795.20,11030
Jindal Drilling,28-11-2023,796.85,39021
Jindal Drilling,24-11-2023,760.00,11185
Jindal Drilling,23-11-2023,772.90,9717
Jindal Drilling,22-11-2023,754.65,16554
Jindal Drilling,21-11-2023,755.35,49567
Jindal Drilling,20-11-2023,683.40,3143
Jindal Drilling,17-11-2023,670.25,5710
Jindal Drilling,16-11-2023,682.55,5312
Jindal Drilling,15-11-2023,692.40,17475
Jindal Drilling,13-11-2023,690.50,10584
Jindal Drilling,12-11-2023,687.40,1460
Jindal Drilling,10-11-2023,681.90,3525
Jindal Drilling,09-11-2023,676.75,32579
Jindal Drilling,08-11-2023,687.75,11083
Jindal Drilling,07-11-2023,673.25,11029
Jindal Drilling,06-11-2023,649.40,11207
Jindal Drilling,03-11-2023,649.95,15327
Jindal Drilling,02-11-2023,671.95,20212
Jindal Drilling,01-11-2023,666.80,8634
Jindal Drilling,31-10-2023,682.55,20846
Jindal Drilling,30-10-2023,662.15,19778
Jindal Drilling,27-10-2023,650.75,1770
Jindal Drilling,26-10-2023,634.30,8239
Jindal Drilling,25-10-2023,617.30,7883
Jindal Drilling,23-10-2023,596.70,26609
Jindal Drilling,20-10-2023,667.30,5643
Jindal Drilling,19-10-2023,659.95,6838
Jindal Drilling,18-10-2023,640.75,6119
Jindal Drilling,17-10-2023,658.65,5006
Jindal Drilling,16-10-2023,662.85,18752
Jindal Drilling,13-10-2023,669.90,7332
Jindal Drilling,12-10-2023,682.55,14888
Jindal Drilling,11-10-2023,688.45,21734
Jindal Drilling,10-10-2023,671.70,20473
Jindal Drilling,09-10-2023,660.25,31421
Jindal Drilling,06-10-2023,682.50,11156
Jindal Drilling,05-10-2023,657.60,16721
Jindal Drilling,04-10-2023,644.60,16847
Jindal Drilling,03-10-2023,663.10,27578
Jindal Drilling,29-09-2023,644.15,12779
Jindal Drilling,28-09-2023,606.55,10232
Jindal Drilling,27-09-2023,590.05,4402
Jindal Drilling,26-09-2023,574.20,2698
Jindal Drilling,25-09-2023,561.70,4468
Jindal Drilling,22-09-2023,571.95,6348
Jindal Drilling,21-09-2023,578.65,34105
Jindal Drilling,20-09-2023,552.40,2805
Jindal Drilling,18-09-2023,563.20,3426
Jindal Drilling,15-09-2023,564.55,2218
Jindal Drilling,14-09-2023,564.45,9608
Jindal Drilling,13-09-2023,552.45,15291
Jindal Drilling,12-09-2023,550.70,12987
Jindal Drilling,11-09-2023,579.25,15558
Jindal Drilling,08-09-2023,589.70,11154
