Company Name,Date,Close,Volume
eMudhra,07-12-2023,446.15,3999
eMudhra,06-12-2023,440.30,7579
eMudhra,05-12-2023,454.45,7243
eMudhra,04-12-2023,456.00,3321
eMudhra,01-12-2023,456.80,11702
eMudhra,30-11-2023,459.15,2436
eMudhra,29-11-2023,459.20,7560
eMudhra,28-11-2023,462.85,3441
eMudhra,24-11-2023,454.00,3052
eMudhra,23-11-2023,459.40,1240
eMudhra,22-11-2023,461.55,1796
eMudhra,21-11-2023,467.10,2524
eMudhra,20-11-2023,468.50,12314
eMudhra,17-11-2023,465.75,1784
eMudhra,16-11-2023,468.90,4221
eMudhra,15-11-2023,469.50,6690
eMudhra,13-11-2023,479.35,12264
eMudhra,12-11-2023,488.95,6262
eMudhra,10-11-2023,465.85,29349
eMudhra,09-11-2023,452.90,4974
eMudhra,08-11-2023,453.05,8440
eMudhra,07-11-2023,458.40,7664
eMudhra,06-11-2023,454.15,1962
eMudhra,03-11-2023,455.15,6707
eMudhra,02-11-2023,468.00,14218
eMudhra,01-11-2023,453.85,1298
eMudhra,31-10-2023,455.50,1266
eMudhra,30-10-2023,451.80,19245
eMudhra,27-10-2023,443.75,7676
eMudhra,26-10-2023,431.30,22910
eMudhra,25-10-2023,431.70,15267
eMudhra,23-10-2023,424.40,9722
eMudhra,20-10-2023,450.95,8021
eMudhra,19-10-2023,457.45,9773
eMudhra,18-10-2023,461.10,1751
eMudhra,17-10-2023,462.85,12009
eMudhra,16-10-2023,459.60,12792
eMudhra,13-10-2023,470.30,3305
eMudhra,12-10-2023,468.80,4729
eMudhra,11-10-2023,467.50,3147
eMudhra,10-10-2023,468.05,3632
eMudhra,09-10-2023,464.35,2702
eMudhra,06-10-2023,476.30,4753
eMudhra,05-10-2023,477.95,5302
eMudhra,04-10-2023,480.40,27036
eMudhra,03-10-2023,471.00,11613
eMudhra,29-09-2023,467.65,16664
eMudhra,28-09-2023,482.40,3561
eMudhra,27-09-2023,477.45,3953
eMudhra,26-09-2023,477.05,4298
eMudhra,25-09-2023,480.35,7761
eMudhra,22-09-2023,485.35,6088
eMudhra,21-09-2023,484.55,8762
eMudhra,20-09-2023,475.20,15058
eMudhra,18-09-2023,497.70,6690
eMudhra,15-09-2023,491.95,16504
eMudhra,14-09-2023,468.60,11453
eMudhra,13-09-2023,467.10,30595
eMudhra,12-09-2023,470.95,8107
eMudhra,11-09-2023,488.50,21717
eMudhra,08-09-2023,492.05,21491
